Source,Type,Target,Relation,Domain,Range,Source definition,Definition language
ChemicalSpecies,Class,,,,,,
Copyright,Class,,,,,,
Content,Class,,,,,,
BibliographyLink,Class,,,,,,
PreferredKey,Class,,,,,,
ChemicalIdentifier,Class,,,,,,
ChemicalComposition,Class,,,,,,
AdditionalDataItem,Class,,,,,,
Name,Class,,,,,,
Atom,Class,,,,,,
Component,Class,,,,,,
Coal,Class,,,,,,
SpeciesLink,Class,,,,,,
Amount,Class,,,,,,
Uncertainty,Class,,,,,,
,,,,,,,
hasCopyright,Object Property,,,ChemicalSpecies,Copyright,,
hasContent,Object Property,,,ChemicalSpecies,Content,,
hasBibliographyLink,Object Property,,,ChemicalSpecies,BibliographyLink,,
hasPreferredKey,Object Property,,,ChemicalSpecies,PreferredKey,,
hasChemicalIdentifier,Object Property,,,ChemicalSpecies,ChemicalIdentifier,,
hasChemicalComposition,Object Property,,,ChemicalSpecies,ChemicalComposition,,
hasAdditionalDataItem,Object Property,,,ChemicalSpecies,AdditionalDataItem,,
hasName,Object Property,,,ChemicalIdentifier,Name,,
hasAtom,Object Property,,,ChemicalComposition,Atom,,
hasComponent,Object Property,,,ChemicalComposition,Component,,
hasCoal,Object Property,,,ChemicalComposition,Coal,,
hasSpeciesLink,Object Property,,,Component,SpeciesLink,,
hasAmount,Object Property,,,Component,Amount,,
hasUncertainty,Object Property,,,Component,Uncertainty,,
,,,,,,,
hasDatPrimeID,Data Property,,,ChemicalSpecies,String,,
hasDatSource,Data Property,,,Content,String,,
hasDatCopyrighted,Data Property,,,Content,String,,
hasDatBibliography,Data Property,,,Content,String,,
hasDatPreferredKey,Data Property,,,BibliographyLink,String,,
hasDatPrimeID,Data Property,,,BibliographyLink,String,,
hasDatType,Data Property,,,PreferredKey,String,,
hasDatGroup,Data Property,,,PreferredKey,String,,
hasDatSource,Data Property,,,Name,String,,
hasDatType,Data Property,,,Name,String,,
hasDatDescriptor,Data Property,,,Name,String,,
hasDatSymbol,Data Property,,,Atom,String,,
hasDatIsotope,Data Property,,,Atom,String,,
hasDatPreferredKey,Data Property,,,SpeciesLink,String,,
hasDatPrimeID,Data Property,,,SpeciesLink,String,,
hasDatUnits,Data Property,,,Amount,String,,
hasDatBound,Data Property,,,Uncertainty,String,,
hasDatKind,Data Property,,,Uncertainty,String,,
hasDatTransformation,Data Property,,,Uncertainty,String,,
hasDatSpecifiedBy,Data Property,,,Coal,String,,
hasDatItemType,Data Property,,,AdditionalDataItem,String,,
hasDatDescription,Data Property,,,AdditionalDataItem,String,,
hasDatMIME,Data Property,,,AdditionalDataItem,String,,
hasDatXmlns,Data Property,,,ChemicalSpecies,String,,
hasDatXmlnsXsi,Data Property,,,ChemicalSpecies,String,,
hasDatXsiSchemaLocation,Data Property,,,ChemicalSpecies,String,,
hasDatVal,Data Property,,,Copyright,String,,
hasDatVal,Data Property,,,Content,String,,
hasDatVal,Data Property,,,BibliographyLink,String,,
hasDatVal,Data Property,,,PreferredKey,String,,
hasDatVal,Data Property,,,Name,String,,
hasDatVal,Data Property,,,Atom,String,,
hasDatVal,Data Property,,,SpeciesLink,String,,
hasDatVal,Data Property,,,Amount,String,,
hasDatVal,Data Property,,,Uncertainty,String,,
hasDatVal,Data Property,,,Coal,String,,
hasDatVal,Data Property,,,AdditionalDataItem,String,,
