Source,Type,Target,Relation,Domain,Range,Source definition,Definition language
Experiment,Class,,,,,,
Copyright,Class,,,,,,
BibliographyLink,Class,,,,,,
Apparatus,Class,,,,,,
CommonProperties,Class,,,,,,
DataGroup,Class,,,,,,
AdditionalDataItem,Class,,,,,,
PreferredKey,Class,,,,,,
Kind,Class,,,,,,
Mode,Class,,,,,,
Property,Class,,,,,,
DataPoint,Class,,,,,,
Component,Class,,,,,,
Value,Class,,,,,,
Uncertainty,Class,,,,,,
SpeciesLink,Class,,,,,,
DerivedProperty,Class,,,,,,
Amount,Class,,,,,,
Feature,Class,,,,,,
Indicator,Class,,,,,,
Observable,Class,,,,,,
PropertyLink,Class,,,,,,
DataAttributeLink,Class,,,,,,
,,,,,,,
,Object Property,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
hasMIME,Data Property,,,AdditionalDataItem,String,,
hasItemType,Data Property,,,AdditionalDataItem,String,,
hasDescription,Data Property,,,AdditionalDataItem,String,,
hasPreferredKey,Data Property,,,BibliographyLink,String,,
hasPrimeID,Data Property,,,BibliographyLink,String,,
hasDataGroupID,Data Property,,,DataGroup,String,,
hasDataGroupLabel,Data Property,,,DataGroup,String,,
hasDataGroupDataPointForm,Data Property,,,DataGroup,String,,
hasType,Data Property,,,PreferredKey,String,,
hasPropertyName,Data Property,,,Property,String,,
hasPropertyID,Data Property,,,Property,String,,
hasPropertyLabel,Data Property,,,Property,String,,
hasPropertyUnits,Data Property,,,Property,String,,
hasPropertyDescription,Data Property,,,Property,String,,
hasPropertyDerivedPropertyExists,Data Property,,,Property,String,,
hasSpeciesLinkPreferredKey,Data Property,,,SpeciesLink,String,,
hasSpeciesLinkPrimeID,Data Property,,,SpeciesLink,String,,
hasAmountUnits,Data Property,,,Amount,String,,
hasUncertaintyBound,Data Property,,,Uncertainty,String,,
hasUncertaintyKind,Data Property,,,Uncertainty,String,,
hasUncertaintyTransformation,Data Property,,,Uncertainty,String,,
hasUncertaintyType,Data Property,,,Uncertainty,String,,
hasDataPointID,Data Property,,,DataPoint,String,,
hasDerivedPropertyDescription,Data Property,,,DerivedProperty,String,,
hasDerivedPropertyID,Data Property,,,DerivedProperty,String,,
hasDerivedPropertyLabel,Data Property,,,DerivedProperty,String,,
hasDerivedPropertyName,Data Property,,,DerivedProperty,String,,
hasDerivedPropertyUnits,Data Property,,,DerivedProperty,String,,
hasFeatureID,Data Property,,,Feature,String,,
hasFeaturePrimeID,Data Property,,,Feature,String,,
hasFeatureType,Data Property,,,Feature,String,,
hasIndicatorID,Data Property,,,Indicator,String,,
hasIndicatorTransformation,Data Property,,,Indicator,String,,
hasIndicatorVariableID,Data Property,,,Indicator,String,,
hasObservableID,Data Property,,,Observable,String,,
hasObservableVariableID,Data Property,,,Observable,String,,
hasPropertyLinkID,Data Property,,,PropertyLink,String,,
hasPropertyLinkTransformation,Data Property,,,PropertyLink,String,,
hasPropertyLinkVariableID,Data Property,,,PropertyLink,String,,
hasDataAttributeLinkID,Data Property,,,DataAttributeLink,String,,
hasDataAttributeLinkTransformation,Data Property,,,DataAttributeLink,String,,
hasDataAttributeLinkVariableID,Data Property,,,DataAttributeLink,String,,
