Case name,DMM3B%20%5B%3D%5D%20CH3OCH2OCH2%20%2B%20CH3OCHO,O2%20%2B%20DMM3B%20%3D%5D%20DMM3BO2,HO2%20%2B%20CH3%20%5B%3D%5D%20OH%20%2B%20CH3O,HO2%20%2B%20CH3%20%5B%3D%5D%20O2%20%2B%20CH4,DMM3_KET35%20%3D%5D%20OH%20%2B%20CH3OCOO%20%2B%20COCOC%2AO,DMM3%20%2B%20O2%20%5B%3D%5D%20HO2%20%2B%20DMM3B,H2O2%20%28%2B%20M%29%20%5B%3D%5D%20OH%20%28%2B%20M%29,OH%20%2B%20CH2O%20%5B%3D%5D%20H2O%20%2B%20HCO,CH2O%20%2B%20CH3%20%5B%3D%5D%20CH4%20%2B%20HCO,HO2%20%2B%20CH2O%20%5B%3D%5D%20H2O2%20%2B%20HCO,DMM3BO2%20%3D%5D%20O2%20%2B%20DMM3B,DMM3%20%2B%20HO2%20%5B%3D%5D%20H2O2%20%2B%20DMM3B,O2%20%2B%20HCO%20%5B%3D%5D%20CO%20%2B%20HO2,DMM3BO2%20%5B%3D%5D%20DMM3_OOH3_5,O2%20%2B%20CH3%20%5B%3D%5D%20OH%20%2B%20CH2O,CH3OCO%20%5B%3D%5D%20CO2%20%2B%20CH3,OH%20%2B%20HO2%20%5B%3D%5D%20O2%20%2B%20H2O,HCO%20%2B%20CH3%20%5B%3D%5D%20CO%20%2B%20CH4
PODE3_Figure%2D5_Parent%20Case,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PODE3_Figure%2D5_case_62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
