Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
Species,Class,,,,,,Chemical entities which represent real physical molecules.,http://theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
EmpiricalFormula,Class,,,,,,A chemical formula that indicates the relative number of each constituting chemical element of a species or molecular entity.,http://www.theworldavatar.com/ontology/ontocape/material/substance/substance.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#ElementNumber,Class,,,,,,A combined representation of the quantity indicating the amount of a chemical element in a species and the element itself.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Element,Class,,,,,,An atom or isotope.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
Weblink,Class,,,,,,The address of a web page describing a resource.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
StandardEnthalpyOfFormation,Class,,,,,,The energy required to form 1 mole of a substance from its constituent elements.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
Temperature,Class,,,,,,"""A measure of the average amount of energy of motion, or kinetic energy, a system contains"" (Chemistry LibreTexts, accessed on 11/11/2019).",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
Provenance,Class,,,,,,The source of data or knowledge about an entity or the specific property of it.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
EnthalpyOfFormationCalculationEBR,Class,,,,,,The code that uses Error-Cancelling Balanced (EBR) reactions to calculate the standard enthalpy of formation.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
ReferenceSpecies,Class,Species,IS-A,,,,A species that belongs to at least one reference set of species.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
hasEmpiricalFormula,Object Property,,,Species,EmpiricalFormula,only,A relation between a species or molecular entity and the chemical formula describing the relative number of each constituting chemical element of the species or molecular entity.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#hasElement,Object Property,,,EmpiricalFormula,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Element,only,A relation that defines that a species or molecular entity contains a chemical element.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#hasElementNumber,Object Property,,,EmpiricalFormula,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#ElementNumber,only,A relation that defines a combined representation of a number indicating the amount of an element in a species and the element.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#indicatesNumberOf,Object Property,,,,,,A relation that defines the number of atoms of a given element contained in a species or molecular entity.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
hasStandardEnthalpyOfFormation,Object Property,,,Species,StandardEnthalpyOfFormation,,A relation that defines the standard enthalpy of formation of a given species.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
hasReferenceTemperature,Object Property,,,StandardEnthalpyOfFormation,Temperature,,A relation that defines the temperature at which the value of a property is estimated.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
hasWeblink,Object Property,,,Species,Weblink,,A relation that defines the weblink of an entity.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
hasReferenceSpecies,Object Property,,,EnthalpyOfFormationCalculationEBR,ReferenceSpecies,,A relation that defines which reference species are used in estimating the value of a property.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
hasProvenance,Object Property,,,StandardEnthalpyOfFormation,Weblink UNION EnthalpyOfFormationCalculationEBR UNION http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Reference,,,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#hasNumberOfElement,Data Property,,,,Integer,,A number that indicates the amount of an element in a species.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
mass,Data Property,,,Species,Float,,"The combined masses of all atoms of a molecule. In ChEBI, http://purl.obolibrary.org/obo/chebi/mass is defined as an annotation property.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
inChI,Data Property,http://purl.org/dc/elements/1.1/identifier,IS-A,Species,String,,"An identifier designed to codify chemical species, molecules or substances. In ChEBI, http://purl.obolibrary.org/obo/chebi/inchi is defined as an annotation property.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
inChIKey,Data Property,http://purl.org/dc/elements/1.1/identifier,IS-A,Species,String,,"A fixed-length representation of InChI. In ChEBI, http://purl.obolibrary.org/obo/chebi/inchikey is defined as an annotation property.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
casRegistryID,Data Property,http://purl.org/dc/elements/1.1/identifier,IS-A,Species,String,,"A numerical identifier designed to uniquely identify all chemical substances. Also in PeriodicTable, http://www.daml.org/2003/01/periodictable/PeriodicTable#casRegistryID is defined as a data type property.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
http://www.w3.org/2004/02/skos/core#altLabel,Data Property,,,Species,String,,"An alternative name of a chemical species, molecule or substance.",http://www.w3.org/2004/02/skos/core
dateOfAccess,Data Property,,,Weblink,String,,The date when a web page was accessed.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
value,Data Property,,,Weblink UNION StandardEnthalpyOfFormation UNION Temperature,String,,"The value of a property. Also in OntoCAPE, http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#value is designed as a data type property.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
units,Data Property,,,Temperature UNION StandardEnthalpyOfFormation,String,,The physical units of a quantity.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
http://purl.org/dc/elements/1.1/identifier,Data Property,,,,String,,The label or string that identifies an entity.,http://purl.org/dc/elements/1.1
hasSpecies,Object Property,,,ReferenceSpecies,Species,,The Internationalised Resource Identifier (IRI) of a species.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
isReliable,Data Property,,,ReferenceSpecies,String,,The data property that indicates if a species in a given reference set is reliable.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
hasGeometry,Data Property,,,Species,String,,The data property that represents the geometry of species.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
hasAtomicBond,Data Property,,,Species,String,,The data property that represents the bonds between all atoms in a species.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
