Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
Species,Class,,,,,,Chemical entities which represent real physical molecules.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
EmpiricalFormula,Class,,,,,,A chemical formula that indicates the relative number of each constituting chemical element of a species or molecular entity.,http://www.theworldavatar.com/ontology/ontocape/material/substance/substance.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#ElementNumber,Class,,,,,,A combined representation of a number indicating the amount of an element in a species and the element.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Element,Class,,,,,,An atom or isotope.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
Weblink,Class,,,,,,The address of a web page that describes a resource.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
hasEmpiricalFormula,Object Property,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Species,EmpiricalFormula,only,A relation between a species or molecular entity and the chemical formula describing the relative number of each constituting chemical element of the species or molecular entity.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#hasElement,Object Property,,,EmpiricalFormula,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Element,only,A relation that defines that a species or molecular entity contains a chemical element.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#hasElementNumber,Object Property,,,EmpiricalFormula,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#ElementNumber,only,A relation that defines a combined representation of a number indicating the amount of an element in a species and the element.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#indicatesNumberOf,Object Property,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#ElementNumber,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Element,only,A relation that defines the number of atoms of a given element contained in a species or molecular entity.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#hasNumberOfElement,Data Property,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#ElementNumber,String,,A number that indicates the amount of an element in a species.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
mass,Data Property,,,Species,Float,,"The combined masses of all atoms of a molecule. In ChEBI, http://purl.obolibrary.org/obo/chebi/mass is defined as an annotation property.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
inChI,Data Property,,,Species,String,,"An identifier designed to codify chemical species, molecules or substances. In ChEBI, http://purl.obolibrary.org/obo/chebi/inchi is defined as an annotation property.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
inChIKey,Data Property,,,Species,String,,"A fixed-length representation of InChI. In ChEBI, http://purl.obolibrary.org/obo/chebi/inchikey is defined as an annotation property.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
casRegistryID,Data Property,,,Species,String,,"A numerical identifier designed to uniquely identify all chemical substances. Also in PeriodicTable, http://www.daml.org/2003/01/periodictable/PeriodicTable#casRegistryID is defined as a data type property.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
http://www.w3.org/2004/02/skos/core#altLabel,Data Property,,,Species,String,,"An alternative name of a chemical species, molecule or substance.",http://www.w3.org/2004/02/skos/core
dateOfAccess,Data Property,,,Species,String,,The date when a web page was accessed.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
value,Data Property,,,Weblink,String,,"The value of a property. Also in OntoCAPE, http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#value is designed as a data type property.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
Heat Capacity|Thermal Capacity|Molar Heat Capacity,Class,,,,,,,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
Constant Pressure Heat Capacity,Class,Heat Capacity|Thermal Capacity|Molar Heat Capacity,IS-A,,,,The amount of energy required to raise the temperature of 1 mole of a substance in the gas-phase by 1K.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
Constant Pressure Heat Capacity of Gas,Class,Constant Pressure Heat Capacity,IS-A,,,,The amount of energy required to raise the temperature of 1 mole of a substance in the gas-phase by 1K at constant pressure [Chemistry LibreTexts].,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
Constant Pressure Heat Capacity of Liquid,Class,Constant Pressure Heat Capacity,IS-A,,,,The amount of energy required to raise the temperature of 1 mole of a substance in the liquid-phase by 1K at constant pressure [Chemistry LibreTexts].,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
Constant Pressure Heat Capacity of Solid,Class,Constant Pressure Heat Capacity,IS-A,,,,The amount of energy required to raise the temperature of 1 mole of a substance in the solid-phase by 1K at constant pressure [Chemistry LibreTexts].,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
hasHeatCapacity,Object Property,,,,,,,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
hasConstantPressureHeatCapacity,Object Property,hasHeatCapacity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl
