lock_emission,ccs_lock_emission,ccs_lock_emission_h,ccs_lock_emission_m,ccs_lock_emission_l,beccs_lock_emission_h,beccs_lock_emission_m,beccs_lock_emission_l,be_lock_emission_h,be_lock_emission_m,be_lock_emission_l
282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185
292.2007447,292.2007447,292.2007447,292.2007447,292.2007447,292.2007447,292.2007447,292.2007447,289.356596,291.1504909,291.6031312
294.2186171,294.2186171,294.2186171,294.2186171,294.2186171,294.2186171,294.2186171,294.2186171,288.4910376,292.1036037,293.0151361
298.6901167,298.6901167,298.6901167,298.6901167,298.6901167,298.6901167,298.6901167,298.6901167,289.9681769,295.4693811,296.8574598
299.4565118,299.4565118,299.4565118,299.4565118,299.4565118,299.4565118,299.4565118,299.4565118,287.7974197,295.1511791,297.0066994
300.2215678,300.2215678,300.2215678,300.2215678,300.2215678,300.2215678,300.2215678,300.2215678,285.6104692,294.8261528,297.1514788
303.5840313,303.5840313,303.5840313,303.5840313,303.5840313,303.5840313,303.5840313,303.5840313,285.8543409,297.0370193,299.8586628
306.7548237,306.7548237,306.7548237,306.7548237,306.7548237,306.7548237,306.7548237,306.7548237,285.8541435,299.0368658,302.3631657
305.7401084,305.7401084,294.4656203,296.7687648,300.6503991,293.8913535,296.2154001,300.5121643,281.9326309,296.9487625,300.7376731
297.9982492,297.9982492,281.5147509,280.5099014,288.0765908,274.9008006,279.4311962,287.8071218,271.8930386,288.3584234,292.5130135
288.9315322,288.9315322,267.6222239,263.4971454,274.5018502,255.339483,261.9283178,274.1099448,260.8082554,278.5464986,283.0222597
284.1681828,276.0652116,237.01268,246.6455728,262.8804932,234.610811,244.3311271,262.3023266,253.7425853,272.9329752,277.7751459
276.8064282,267.3347647,225.7687873,236.1947206,253.7662019,223.1691813,233.6897351,253.1404369,244.4747388,264.8673614,270.0128826
272.9664226,262.0694438,217.603841,228.9132701,247.9737626,214.7839438,226.1960116,247.2949701,238.426325,260.2118607,265.7088455
274.104386,261.598778,213.4570609,225.8460536,246.7260027,210.3679848,222.8694139,245.9824148,236.752288,260.3114416,266.2559504
274.2800749,260.2022484,208.5366944,221.9667057,244.601149,205.1880504,218.7399458,243.7950791,234.2343188,259.492448,265.865647
279.4577703,263.52046,207.3206759,222.0567906,246.892492,203.6463676,218.51622,246.0080297,235.9359399,263.3865395,270.3129485
280.8669384,263.2474967,203.1874603,219.0557692,245.7996288,199.2308503,215.2431721,244.8472122,234.3918182,263.7051515,271.1015704
299.0461787,278.5808681,210.8250399,228.8467918,259.2199845,206.3314896,224.516798,258.138318,246.6521562,279.698729,288.0371289
306.8412763,284.0926084,210.6629707,230.310207,263.4229309,205.7641215,225.5896664,262.2437028,250.0948703,285.8866295,294.9177022
311.3307133,286.473706,208.0048859,229.1122129,264.6857195,202.7419771,224.0408638,263.4188567,250.7236917,288.9504636,298.5959453
317.4797292,290.3212093,206.2594395,228.9794417,267.2708912,200.5944257,223.5206234,265.9072356,252.5854705,293.5163389,303.8441255
318.6740677,289.596,201.1596536,225.1654152,265.6238357,195.1740482,219.3976741,264.1830088,250.433853,293.4751221,304.3354106
318.3053582,287.4456575,195.0579872,220.2348731,262.6670632,188.7803731,214.1857519,261.1559454,247.0458591,291.9914866,303.332288
318.111596,283.6423376,189.0738996,215.4336291,259.85934,182.5013549,209.1003122,258.2772278,243.7991216,290.6703576,302.4970336
321.9721851,283.4122328,182.4636954,210.9623911,258.9930365,175.35782,204.1151558,257.2825434,243.6239273,293.04066,305.5096225
320.9592588,277.0293817,175.9718085,205.5897424,255.5067104,168.5868618,198.4735935,253.7290406,239.7334142,290.9651322,303.8920567
327.977358,281.2164743,173.7723552,205.2732443,258.3636749,165.9179119,197.7046874,256.4729901,241.7830461,296.1485341,309.8661799
332.6391114,283.3165641,170.1090851,203.3106041,259.2672134,161.830606,195.3334455,257.2744566,241.9819069,299.1622829,313.5901888
343.1584414,290.319113,165.9978432,202.1880851,263.1817772,156.9741549,193.4928415,261.0096371,246.2941592,307.3895361,322.8052855
357.5343708,300.4424483,166.3597595,205.4127741,271.2312771,156.6222663,196.0297067,268.8873133,253.1320789,318.9819177,335.5973257
364.2709053,304.025862,162.777814,203.9386804,273.3096788,152.5147484,194.0491704,270.8392016,254.3558561,323.6827659,341.1755178
371.6910065,308.0990561,155.8136821,199.9129495,274.2362199,144.8179545,189.3174449,271.5893798,255.9191464,328.9401327,347.3649839
387.0975088,318.6620933,155.1348077,202.5199844,282.3812048,143.3197702,191.1349913,279.5371442,262.7591026,341.1832814,360.9714806
392.6488166,319.8730998,146.5000693,196.7831616,281.5284212,133.9624645,184.7019011,278.5104276,262.7054274,344.6648468,365.3450674
399.3427083,322.4795237,134.2714256,188.42,279.68,120.77,175.41,276.43,259.41,347.67,369.94
