annual_emission,ccs_annual_emission,ccs_annual_emission_h,ccs_annual_emission_m,ccs_annual_emission_l,beccs_annual_emission_h,beccs_annual_emission_m,beccs_annual_emission_l,be_annual_emission_h,be_annual_emission_m,be_annual_emission_l
15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052
15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,15.48858557,15.48858557,15.48858557,13.75496223,14.37951358,15.27959124
16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,15.86926539,15.86926539,15.86926539,13.17894694,14.01604582,15.25887963
16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,16.06314154,16.06314154,16.06314154,12.34893852,13.68910598,15.23241168
16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,16.24688337,16.24688337,16.24688337,11.72405963,13.44257316,15.1867231
16.69485028,16.59613484,16.59093166,16.58293186,16.57493207,16.25911303,16.25127323,16.24343343,11.28979149,13.39844595,15.17030578
16.7617977,16.55900133,16.55375386,16.54625455,16.53875525,16.22267878,16.21532946,16.20798014,11.07366249,13.4032573,15.15969338
16.78756986,16.58177204,16.5503457,16.54570654,16.54106738,16.21933879,16.21479241,16.21024603,11.01762335,13.42260355,15.16308747
16.80153603,16.579397,16.53622441,16.53179328,16.52736214,16.20549993,16.20115741,16.1968149,11.12653906,13.48125117,15.1802947
16.75362656,16.5283462,16.48122738,16.47710338,16.47297939,16.15160283,16.14756131,16.1435198,11.33748819,13.56629364,15.21060167
16.69759905,16.46405508,16.41795145,16.41381898,16.40968651,16.08959242,16.0855426,16.08149278,11.55443467,13.6428745,15.25439837
16.66722788,16.4132556,16.25210273,16.26556649,16.27903025,15.92706068,15.94025516,15.95344965,11.75204354,13.73750042,15.31077484
16.6493732,16.39839846,16.16550318,16.18815137,16.21079956,15.84219312,15.86438835,15.88658357,11.88610682,13.82031711,15.36314111
16.65296995,16.38807146,15.99608976,16.04289164,16.08969351,15.67616797,15.7220338,15.76789964,12.04990344,13.91114702,15.41694348
16.6332687,16.37269671,15.67163758,15.76267872,15.85371986,15.35820483,15.44742514,15.53664546,12.24719162,14.08076027,15.50826961
16.64308833,16.39112884,15.38921363,15.52150523,15.65379684,15.08142935,15.21107513,15.34072091,12.36691562,14.20089555,15.59046968
16.67783018,16.39543228,15.03983638,15.20920418,15.37857198,14.73903965,14.90502009,15.07100054,12.40737729,14.27168729,15.65344034
16.7236453,16.43270834,14.48903268,14.74686153,15.00469039,14.19925202,14.4519243,14.70459658,12.39559226,14.3203323,15.70684545
16.78066535,16.47312168,13.86084761,14.19377824,14.52670887,13.58363066,13.90990268,14.2361747,12.36523003,14.38235316,15.77488143
16.86097373,16.54283435,13.40048998,13.802784,14.20507801,13.13248018,13.52672832,13.92097645,12.37939322,14.50460167,15.86768893
16.9310589,16.61090952,13.05509077,13.50755232,13.96001387,12.79398895,13.23740127,13.68081359,12.40710119,14.60693428,15.9472099
16.98416546,16.66038393,12.66621252,13.1570732,13.64793387,12.41288827,12.89393173,13.37497519,12.50390884,14.74265659,16.0406598
17.02417052,16.71424135,12.42242464,12.93236795,13.44231127,12.17397615,12.67372059,13.17346504,12.57793288,14.82264596,16.1151274
17.1003565,16.78150628,12.28351383,12.80689889,13.33028395,12.03784355,12.55076091,13.06367827,12.61874912,14.8961736,16.19290312
17.18493093,16.86354536,12.07775111,12.62088288,13.16401465,11.83619609,12.36846523,12.90073436,12.63035432,14.94163995,16.25616668
17.25960861,16.93275375,11.75092857,12.31725077,12.88357298,11.51591,12.07090576,12.62590152,12.63228044,14.97580507,16.31775211
17.35039391,17.01305011,11.5761205,12.1539438,12.73176711,11.34459809,11.91086493,12.47713176,12.64803299,15.05091465,16.39282351
17.41308864,17.09026825,11.21664895,11.81281159,12.40897423,10.99231597,11.57655536,12.16079475,12.70664112,15.13211468,16.46819931
17.48777017,17.16999478,10.95473105,11.56370988,12.17268871,10.73563643,11.33243568,11.92923493,12.74606014,15.19867446,16.55005422
17.59562749,17.27495253,10.48296343,11.10864434,11.73432524,10.27330417,10.88647145,11.49963874,12.77122379,15.25228887,16.62780828
17.70677742,17.38669595,10.13160111,10.77895631,11.4263115,9.928969091,10.56337718,11.19778527,12.78311779,15.33076971,16.71481787
17.81184485,17.49161118,9.755456462,10.42623563,11.0970148,9.560347333,10.21771092,10.87507451,12.90574546,15.38135811,16.79327172
17.92521946,17.57129551,9.427084941,10.11591011,10.80473528,9.238543242,9.913591907,10.58864057,12.97396788,15.38734952,16.84786447
18.02817087,17.63988377,8.85563969,9.572150415,10.28866114,8.678526896,9.380707407,10.08288792,13.10727971,15.41068633,16.90664409
18.12350094,17.72460356,8.661170593,9.398776583,10.13638257,8.487947181,9.210801052,9.933654922,13.23041773,15.46942819,16.97774068
18.21070676,17.79135979,8.123790469,8.89982539,9.675860312,7.961314659,8.721828883,9.482343106,13.21069621,15.45571365,16.96290113
