primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
bituminous,subcritical,3,100,80.82,105.2,531391.5,10,0.75,77.68,10.776,88.456,9.98,68.697,-2.143,65618.5,137.7975652,-0.285733333,137.5118319
bituminous,subcritical,3,200,161.6,81.02,1062520,10,0.75,59.82,10.77333333,70.59333333,19.95,137.36,-4.29,131171.25,106.1154783,-0.286,105.8294783
bituminous,subcritical,3,300,242.3,71.41,1593122.5,10,0.75,52.73,10.76888889,63.49888889,29.91,205.955,-6.435,196658.25,93.53843478,-0.286,93.25243478
bituminous,subcritical,3,400,323.1,65.94,2124382.5,10,0.75,48.69,10.77,59.46,39.88,274.635,-8.585,262211,86.37182609,-0.286166667,86.08565942
bituminous,subcritical,3,500,403.8,62.3,2654985,10,0.75,46,10.768,56.768,49.84,343.23,-10.73,327698,81.6,-0.286133333,81.31386667
bituminous,subcritical,3,600,484.6,59.64,3186245,10,0.75,44.04,10.76888889,54.80888889,59.81,411.91,-12.88,393250.75,78.12313043,-0.286222222,77.83690821
bituminous,subcritical,3,700,565.3,57.59,3716847.5,10,0.75,42.52,10.76761905,53.28761905,69.77,480.505,-15.025,458737.75,75.42678261,-0.286190476,75.14059213
bituminous,subcritical,3,800,646.1,55.93,4248107.5,10,0.75,41.3,10.76833333,52.06833333,79.75,549.185,-17.165,524356.25,73.2626087,-0.286083333,72.97652536
bituminous,subcritical,3,900,726.8,54.56,4778710,10,0.75,40.29,10.76740741,51.05740741,89.71,617.78,-19.31,589843.25,71.47095652,-0.286074074,71.18488245
bituminous,subcritical,3,1000,807.6,53.4,5309970,10,0.75,39.43,10.768,50.198,99.68,686.46,-21.46,655396,69.9453913,-0.286133333,69.65925797
bituminous,subcritical,3,1100,888.3,52.39,5840572.5,10,0.75,38.68,10.76727273,49.44727273,109.64,755.055,-23.605,720883,68.61495652,-0.286121212,68.32883531
bituminous,subcritical,3,1200,969.1,51.5,6371832.5,10,0.75,38.03,10.76777778,48.79777778,119.61,823.735,-25.755,786435.75,67.46191304,-0.286166667,67.17574638
bituminous,subcritical,3,1300,1050,50.7,6903750,10,0.75,37.43,10.76923077,48.19923077,129.6,892.5,-27.9,852120,66.39756522,-0.286153846,66.11141137
