primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
anthracite,supercritical,3,100,60.58,104.4,398313.5,10,0.75,15,76.41,8.077333333,84.48733333,7.02,51.493,-2.067,-13590.525,122.9273849,-0.2756,122.6517849
anthracite,supercritical,3,200,121.1,82.41,796232.5,10,0.75,15,60.32,8.073333333,68.39333333,14.03,102.935,-4.135,-27187.625,97.04200837,-0.275666667,96.7663417
anthracite,supercritical,3,300,181.6,73.64,1194020,10,0.75,15,53.9,8.071111111,61.97111111,21.03,154.36,-6.21,-40830.75,86.71359833,-0.276,86.43759833
anthracite,supercritical,3,400,242.2,68.64,1592465,10,0.75,15,50.24,8.073333333,58.31333333,28.05,205.87,-8.28,-54441,80.82543933,-0.276,80.54943933
anthracite,supercritical,3,500,302.7,65.31,1990252.5,10,0.75,15,47.8,8.072,55.872,35.06,257.295,-10.345,-68018.375,76.9,-0.275866667,76.62413333
anthracite,supercritical,3,600,363.2,62.87,2388040,10,0.75,15,46.01,8.071111111,54.08111111,42.07,308.72,-12.41,-81595.75,74.02027197,-0.275777778,73.74449419
anthracite,supercritical,3,700,423.7,60.99,2785827.5,10,0.75,15,44.64,8.07047619,52.71047619,49.07,360.145,-14.485,-95238.875,71.81623431,-0.275904762,71.54032955
anthracite,supercritical,3,800,484.3,59.47,3184272.5,10,0.75,15,43.53,8.071666667,51.60166667,56.09,411.655,-16.555,-108849.125,70.03048117,-0.275916667,69.7545645
anthracite,supercritical,3,900,544.8,58.21,3582060,10,0.75,15,42.6,8.071111111,50.67111111,63.1,463.08,-18.62,-122426.5,68.53430962,-0.275851852,68.25845777
anthracite,supercritical,3,1000,605.3,57.14,3979847.5,10,0.75,15,41.82,8.070666667,49.89066667,70.11,514.505,-20.685,-136003.875,67.27945607,-0.2758,67.00365607
anthracite,supercritical,3,1100,665.8,56.21,4377635,10,0.75,15,41.14,8.07030303,49.21030303,77.12,565.93,-22.75,-149581.25,66.18548117,-0.275757576,65.9097236
anthracite,supercritical,3,1200,726.4,55.4,4776080,10,0.75,15,40.55,8.071111111,48.62111111,84.13,617.44,-24.83,-163257.25,65.23629707,-0.275888889,64.96040818
anthracite,supercritical,3,1300,786.9,54.67,5173867.5,10,0.75,15,40.01,8.070769231,48.08076923,91.14,668.865,-26.895,-176834.625,64.3675523,-0.275846154,64.09170615
anthracite,supercritical,3,1400,847.4,54.02,5571655,10,0.75,15,39.54,8.07047619,47.61047619,98.15,720.29,-28.96,-190412,63.61142259,-0.275809524,63.33561307
anthracite,supercritical,3,1500,907.9,53.42,5969442.5,10,0.75,15,39.1,8.070222222,47.17022222,105.16,771.715,-31.025,-203989.375,62.90355649,-0.275777778,62.62777871
anthracite,supercritical,3,1600,968.5,52.99,6367887.5,10,0.75,15,38.78,8.070833333,46.85083333,112.18,823.225,-33.095,-217599.625,62.38874477,-0.275791667,62.1129531
