primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
coal_biomass,supercritical,3,100,64.336,107.3,423009.2,10,0.75,15,80.85,8.578133333,89.42813333,8.01,54.6856,-1.6404,-10785.63,130.0703975,-0.21872,129.8516775
coal_biomass,supercritical,3,200,128.64,82.71,845808,10,0.75,15,62.32,8.576,70.896,16.01,109.344,-3.286,-21605.45,100.2595816,-0.219066667,100.0405149
coal_biomass,supercritical,3,300,192.88,72.85,1268186,10,0.75,15,54.89,8.572444444,63.46244444,24,163.948,-4.932,-32427.9,88.30629707,-0.2192,88.08709707
coal_biomass,supercritical,3,400,257.12,67.21,1690564,10,0.75,15,50.64,8.570666667,59.21066667,32,218.552,-6.568,-43184.6,81.46895397,-0.218933333,81.25002064
coal_biomass,supercritical,3,500,321.44,63.44,2113468,10,0.75,15,47.8,8.571733333,56.37173333,40,273.224,-8.216,-54020.2,76.9,-0.219093333,76.68090667
coal_biomass,supercritical,3,600,385.68,60.68,2535846,10,0.75,15,45.72,8.570666667,54.29066667,47.99,327.828,-9.862,-64842.65,73.55372385,-0.219155556,73.33456829
coal_biomass,supercritical,3,700,450,58.54,2958750,10,0.75,15,44.11,8.571428571,52.68142857,56,382.5,-11.5,-75612.5,70.96357741,-0.219047619,70.74452979
coal_biomass,supercritical,3,800,514.24,56.82,3381128,10,0.75,15,42.81,8.570666667,51.38066667,63.99,437.104,-13.146,-86434.95,68.87215481,-0.2191,68.65305481
coal_biomass,supercritical,3,900,578.56,55.39,3804032,10,0.75,15,41.73,8.571259259,50.30125926,72,491.776,-14.784,-97204.8,67.13466527,-0.219022222,66.91564305
coal_biomass,supercritical,3,1000,642.8,54.18,4226410,10,0.75,15,40.82,8.570666667,49.39066667,79.99,546.38,-16.43,-108027.25,65.67066946,-0.219066667,65.45160279
coal_biomass,supercritical,3,1100,707.04,53.12,4648788,10,0.75,15,40.02,8.570181818,48.59018182,87.98,600.984,-18.076,-118849.7,64.38364017,-0.21910303,64.16453714
coal_biomass,supercritical,3,1200,771.36,52.2,5071692,10,0.75,15,39.33,8.570666667,47.90066667,95.99,655.656,-19.714,-129619.55,63.27357741,-0.219044444,63.05453296
coal_biomass,supercritical,3,1300,836,51.38,5496700,10,0.75,15,38.71,8.574358974,47.28435897,104.03,710.6,-21.37,-140507.75,62.27612971,-0.219179487,62.05695022
coal_biomass,supercritical,3,1400,900,50.64,5917500,10,0.75,15,38.16,8.571428571,46.73142857,112,765,-23,-151225,61.39129707,-0.219047619,61.17224945
coal_biomass,supercritical,3,1500,964,49.96,6338300,10,0.75,15,37.64,8.568888889,46.20888889,119.96,819.4,-24.64,-162008,60.55472803,-0.219022222,60.33570581
coal_biomass,supercritical,3,1600,1028.8,49.47,6764360,10,0.75,15,37.27,8.573333333,45.84333333,128.02,874.48,-26.3,-172922.5,59.95947699,-0.219166667,59.74031032
coal_biomass,supercritical,3,1700,1092.8,49.03,7185160,10,0.75,15,36.94,8.570980392,45.51098039,135.99,928.88,-27.93,-183639.75,59.42857741,-0.219058824,59.20951858
coal_biomass,supercritical,3,1800,1156.8,48.64,7605960,10,0.75,15,36.65,8.568888889,45.21888889,143.95,983.28,-29.57,-194422.75,58.96202929,-0.219037037,58.74299225
coal_biomass,supercritical,3,1900,1221.6,48.28,8032020,10,0.75,15,36.38,8.572631579,44.95263158,152.02,1038.36,-31.22,-205271.5,58.5276569,-0.219087719,58.30856918
coal_biomass,supercritical,3,2000,1285.6,47.97,8452820,10,0.75,15,36.14,8.570666667,44.71066667,159.98,1092.76,-32.86,-216054.5,58.14154812,-0.219066667,57.92248145
coal_biomass,supercritical,3,2100,1349.6,47.68,8873620,10,0.75,15,35.93,8.568888889,44.49888889,167.94,1147.16,-34.5,-226837.5,57.80370293,-0.219047619,57.58465531
coal_biomass,supercritical,3,2200,1414.4,47.41,9299680,10,0.75,15,35.72,8.572121212,44.29212121,176.01,1202.24,-36.15,-237686.25,57.46585774,-0.219090909,57.24676683
coal_biomass,supercritical,3,2300,1478.4,47.18,9720480,10,0.75,15,35.55,8.570434783,44.12043478,183.97,1256.64,-37.79,-248469.25,57.19236402,-0.219072464,56.97329155
coal_biomass,supercritical,3,2400,1542.4,46.96,10141280,10,0.75,15,35.38,8.568888889,43.94888889,191.94,1311.04,-39.42,-259186.5,56.91887029,-0.219,56.69987029
coal_biomass,supercritical,3,2500,1607.2,46.76,10567340,10,0.75,15,35.23,8.571733333,43.80173333,200,1366.12,-41.08,-270101,56.6775523,-0.219093333,56.45845897
coal_biomass,supercritical,7,100,64.336,105.7,423009.2,10,0.75,15,79.64,8.578133333,88.21813333,8.01,54.6856,-1.6404,-10785.63,128.1237657,-0.21872,127.9050457
coal_biomass,supercritical,7,200,128.64,81.34,845808,10,0.75,15,61.29,8.576,69.866,16.01,109.344,-3.286,-21605.45,98.60253138,-0.219066667,98.38346471
coal_biomass,supercritical,7,300,192.88,71.61,1268186,10,0.75,15,53.96,8.572444444,62.53244444,24,163.948,-4.932,-32427.9,86.81012552,-0.2192,86.59092552
