primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
bituminous,subcritical,3,100,80.82,105.2,531391.50,1
bituminous,subcritical,3,200,161.6,81.02,1062520.00,1
bituminous,subcritical,3,300,242.3,71.41,1593122.50,1
bituminous,subcritical,3,400,323.1,65.94,2124382.50,1
bituminous,subcritical,3,500,403.8,62.3,2654985.00,1
bituminous,subcritical,3,600,484.6,59.64,3186245.00,1
bituminous,subcritical,3,700,565.3,57.59,3716847.50,1
bituminous,subcritical,3,800,646.1,55.93,4248107.50,1
bituminous,subcritical,3,900,726.8,54.56,4778710.00,1
bituminous,subcritical,3,1000,807.6,53.4,5309970.00,1
bituminous,subcritical,3,1100,888.3,52.39,5840572.50,1
bituminous,subcritical,3,1200,969.1,51.5,6371832.50,1
bituminous,subcritical,3,1300,1050,50.7,6903750.00,1
bituminous,subcritical,3,1400,1131,50.05,7436325.00,1
bituminous,subcritical,3,1500,1211,49.56,7962325.00,1
bituminous,subcritical,3,1600,1292,49.12,8494900.00,1
bituminous,subcritical,3,1700,1373,48.73,9027475.00,1
bituminous,subcritical,3,1800,1454,48.39,9560050.00,1
bituminous,subcritical,3,1900,1534,48.08,10086050.00,1
bituminous,subcritical,3,2000,1615,47.8,10618625.00,1
bituminous,subcritical,3,2100,1696,47.55,11151200.00,1
bituminous,subcritical,3,2200,1777,47.33,11683775.00,1
bituminous,subcritical,3,2300,1857,47.12,12209775.00,1
bituminous,subcritical,3,2400,1938,46.94,12742350.00,1
bituminous,subcritical,3,2500,2019,46.77,13274925.00,1
bituminous,subcritical,7,100,80.82,103.8,531391.50,2
bituminous,subcritical,7,200,161.6,79.82,1062520.00,2
bituminous,subcritical,7,300,242.3,70.31,1593122.50,2
bituminous,subcritical,7,400,323.1,64.91,2124382.50,2
bituminous,subcritical,7,500,403.8,61.32,2654985.00,2
bituminous,subcritical,7,600,484.6,58.71,3186245.00,2
bituminous,subcritical,7,700,565.3,56.69,3716847.50,2
bituminous,subcritical,7,800,646.1,55.06,4248107.50,2
bituminous,subcritical,7,900,726.8,53.71,4778710.00,2
bituminous,subcritical,7,1000,807.6,52.56,5309970.00,2
bituminous,subcritical,7,1100,888.3,51.57,5840572.50,2
bituminous,subcritical,7,1200,969.1,50.69,6371832.50,2
bituminous,subcritical,7,1300,1050,49.91,6903750.00,2
bituminous,subcritical,7,1400,1131,49.27,7436325.00,2
bituminous,subcritical,7,1500,1211,48.78,7962325.00,2
bituminous,subcritical,7,1600,1292,48.35,8494900.00,2
bituminous,subcritical,7,1700,1373,47.97,9027475.00,2
bituminous,subcritical,7,1800,1454,47.63,9560050.00,2
bituminous,subcritical,7,1900,1534,47.33,10086050.00,2
bituminous,subcritical,7,2000,1615,47.06,10618625.00,2
bituminous,subcritical,7,2100,1696,46.81,11151200.00,2
bituminous,subcritical,7,2200,1777,46.59,11683775.00,2
bituminous,subcritical,7,2300,1857,46.39,12209775.00,2
bituminous,subcritical,7,2400,1938,46.2,12742350.00,2
bituminous,subcritical,7,2500,2019,46.03,13274925.00,2
bituminous,subcritical,10,100,80.82,102.7,531391.50,3
bituminous,subcritical,10,200,161.6,78.91,1062520.00,3
bituminous,subcritical,10,300,242.3,69.49,1593122.50,3
bituminous,subcritical,10,400,323.1,64.15,2124382.50,3
bituminous,subcritical,10,500,403.8,60.59,2654985.00,3
bituminous,subcritical,10,600,484.6,58.01,3186245.00,3
bituminous,subcritical,10,700,565.3,56.01,3716847.50,3
bituminous,subcritical,10,800,646.1,54.4,4248107.50,3
bituminous,subcritical,10,900,726.8,53.07,4778710.00,3
bituminous,subcritical,10,1000,807.6,51.94,5309970.00,3
bituminous,subcritical,10,1100,888.3,50.95,5840572.50,3
bituminous,subcritical,10,1200,969.1,50.09,6371832.50,3
bituminous,subcritical,10,1300,1050,49.31,6903750.00,3
bituminous,subcritical,10,1400,1131,48.68,7436325.00,3
bituminous,subcritical,10,1500,1211,48.2,7962325.00,3
bituminous,subcritical,10,1600,1292,47.78,8494900.00,3
bituminous,subcritical,10,1700,1373,47.4,9027475.00,3
bituminous,subcritical,10,1800,1454,47.07,9560050.00,3
bituminous,subcritical,10,1900,1534,46.77,10086050.00,3
bituminous,subcritical,10,2000,1615,46.5,10618625.00,3
bituminous,subcritical,10,2100,1696,46.26,11151200.00,3
bituminous,subcritical,10,2200,1777,46.04,11683775.00,3
bituminous,subcritical,10,2300,1857,45.83,12209775.00,3
bituminous,subcritical,10,2400,1938,45.65,12742350.00,3
bituminous,subcritical,10,2500,2019,45.48,13274925.00,3
bituminous,subcritical,13,100,80.82,101.6,531391.50,4
bituminous,subcritical,13,200,161.6,78.01,1062520.00,4
bituminous,subcritical,13,300,242.3,68.67,1593122.50,4
bituminous,subcritical,13,400,323.1,63.38,2124382.50,4
bituminous,subcritical,13,500,403.8,59.86,2654985.00,4
bituminous,subcritical,13,600,484.6,57.31,3186245.00,4
bituminous,subcritical,13,700,565.3,55.33,3716847.50,4
bituminous,subcritical,13,800,646.1,53.75,4248107.50,4
bituminous,subcritical,13,900,726.8,52.43,4778710.00,4
bituminous,subcritical,13,1000,807.6,51.31,5309970.00,4
bituminous,subcritical,13,1100,888.3,50.34,5840572.50,4
bituminous,subcritical,13,1200,969.1,49.48,6371832.50,4
bituminous,subcritical,13,1300,1050,48.72,6903750.00,4
bituminous,subcritical,13,1400,1131,48.1,7436325.00,4
bituminous,subcritical,13,1500,1211,47.62,7962325.00,4
bituminous,subcritical,13,1600,1292,47.2,8494900.00,4
bituminous,subcritical,13,1700,1373,46.83,9027475.00,4
bituminous,subcritical,13,1800,1454,46.5,9560050.00,4
bituminous,subcritical,13,1900,1534,46.21,10086050.00,4
bituminous,subcritical,13,2000,1615,45.94,10618625.00,4
bituminous,subcritical,13,2100,1696,45.7,11151200.00,4
bituminous,subcritical,13,2200,1777,45.48,11683775.00,4
bituminous,subcritical,13,2300,1857,45.28,12209775.00,4
bituminous,subcritical,13,2400,1938,45.1,12742350.00,4
bituminous,subcritical,13,2500,2019,44.93,13274925.00,4
bituminous,subcritical,17,100,80.82,100.2,531391.50,5
bituminous,subcritical,17,200,161.6,76.8,1062520.00,5
bituminous,subcritical,17,300,242.3,67.57,1593122.50,5
bituminous,subcritical,17,400,323.1,62.35,2124382.50,5
bituminous,subcritical,17,500,403.8,58.89,2654985.00,5
bituminous,subcritical,17,600,484.6,56.37,3186245.00,5
bituminous,subcritical,17,700,565.3,54.43,3716847.50,5
bituminous,subcritical,17,800,646.1,52.87,4248107.50,5
bituminous,subcritical,17,900,726.8,51.58,4778710.00,5
bituminous,subcritical,17,1000,807.6,50.47,5309970.00,5
bituminous,subcritical,17,1100,888.3,49.52,5840572.50,5
bituminous,subcritical,17,1200,969.1,48.68,6371832.50,5
bituminous,subcritical,17,1300,1050,47.93,6903750.00,5
bituminous,subcritical,17,1400,1131,47.31,7436325.00,5
bituminous,subcritical,17,1500,1211,46.85,7962325.00,5
bituminous,subcritical,17,1600,1292,46.44,8494900.00,5
bituminous,subcritical,17,1700,1373,46.07,9027475.00,5
bituminous,subcritical,17,1800,1454,45.75,9560050.00,5
bituminous,subcritical,17,1900,1534,45.46,10086050.00,5
bituminous,subcritical,17,2000,1615,45.2,10618625.00,5
bituminous,subcritical,17,2100,1696,44.96,11151200.00,5
bituminous,subcritical,17,2200,1777,44.74,11683775.00,5
bituminous,subcritical,17,2300,1857,44.54,12209775.00,5
bituminous,subcritical,17,2400,1938,44.36,12742350.00,5
bituminous,subcritical,17,2500,2019,44.19,13274925.00,5
bituminous,subcritical,20,100,80.82,99.14,531391.50,6
bituminous,subcritical,20,200,161.6,75.89,1062520.00,6
bituminous,subcritical,20,300,242.3,66.75,1593122.50,6
bituminous,subcritical,20,400,323.1,61.59,2124382.50,6
bituminous,subcritical,20,500,403.8,58.16,2654985.00,6
bituminous,subcritical,20,600,484.6,55.67,3186245.00,6
bituminous,subcritical,20,700,565.3,53.76,3716847.50,6
bituminous,subcritical,20,800,646.1,52.21,4248107.50,6
bituminous,subcritical,20,900,726.8,50.94,4778710.00,6
bituminous,subcritical,20,1000,807.6,49.85,5309970.00,6
bituminous,subcritical,20,1100,888.3,48.9,5840572.50,6
bituminous,subcritical,20,1200,969.1,48.07,6371832.50,6
bituminous,subcritical,20,1300,1050,47.33,6903750.00,6
bituminous,subcritical,20,1400,1131,46.73,7436325.00,6
bituminous,subcritical,20,1500,1211,46.27,7962325.00,6
bituminous,subcritical,20,1600,1292,45.86,8494900.00,6
bituminous,subcritical,20,1700,1373,45.5,9027475.00,6
bituminous,subcritical,20,1800,1454,45.18,9560050.00,6
bituminous,subcritical,20,1900,1534,44.9,10086050.00,6
bituminous,subcritical,20,2000,1615,44.64,10618625.00,6
bituminous,subcritical,20,2100,1696,44.4,11151200.00,6
bituminous,subcritical,20,2200,1777,44.19,11683775.00,6
bituminous,subcritical,20,2300,1857,43.99,12209775.00,6
bituminous,subcritical,20,2400,1938,43.81,12742350.00,6
bituminous,subcritical,20,2500,2019,43.64,13274925.00,6
bituminous,subcritical,23,100,80.82,98.07,531391.50,7
bituminous,subcritical,23,200,161.6,74.99,1062520.00,7
bituminous,subcritical,23,300,242.3,65.93,1593122.50,7
bituminous,subcritical,23,400,323.1,60.82,2124382.50,7
bituminous,subcritical,23,500,403.8,57.43,2654985.00,7
bituminous,subcritical,23,600,484.6,54.97,3186245.00,7
bituminous,subcritical,23,700,565.3,53.08,3716847.50,7
bituminous,subcritical,23,800,646.1,51.56,4248107.50,7
bituminous,subcritical,23,900,726.8,50.3,4778710.00,7
bituminous,subcritical,23,1000,807.6,49.22,5309970.00,7
bituminous,subcritical,23,1100,888.3,48.29,5840572.50,7
bituminous,subcritical,23,1200,969.1,47.47,6371832.50,7
bituminous,subcritical,23,1300,1050,46.74,6903750.00,7
bituminous,subcritical,23,1400,1131,46.14,7436325.00,7
bituminous,subcritical,23,1500,1211,45.69,7962325.00,7
bituminous,subcritical,23,1600,1292,45.29,8494900.00,7
bituminous,subcritical,23,1700,1373,44.93,9027475.00,7
bituminous,subcritical,23,1800,1454,44.62,9560050.00,7
bituminous,subcritical,23,1900,1534,44.34,10086050.00,7
bituminous,subcritical,23,2000,1615,44.08,10618625.00,7
bituminous,subcritical,23,2100,1696,43.85,11151200.00,7
bituminous,subcritical,23,2200,1777,43.63,11683775.00,7
bituminous,subcritical,23,2300,1857,43.44,12209775.00,7
bituminous,subcritical,23,2400,1938,43.26,12742350.00,7
bituminous,subcritical,23,2500,2019,43.09,13274925.00,7
bituminous,subcritical,27,100,80.82,96.64,531391.50,8
bituminous,subcritical,27,200,161.6,73.78,1062520.00,8
bituminous,subcritical,27,300,242.3,64.83,1593122.50,8
bituminous,subcritical,27,400,323.1,59.79,2124382.50,8
bituminous,subcritical,27,500,403.8,56.46,2654985.00,8
bituminous,subcritical,27,600,484.6,54.04,3186245.00,8
bituminous,subcritical,27,700,565.3,52.18,3716847.50,8
bituminous,subcritical,27,800,646.1,50.68,4248107.50,8
bituminous,subcritical,27,900,726.8,49.44,4778710.00,8
bituminous,subcritical,27,1000,807.6,48.39,5309970.00,8
bituminous,subcritical,27,1100,888.3,47.47,5840572.50,8
bituminous,subcritical,27,1200,969.1,46.66,6371832.50,8
bituminous,subcritical,27,1300,1050,45.94,6903750.00,8
bituminous,subcritical,27,1400,1131,45.36,7436325.00,8
bituminous,subcritical,27,1500,1211,44.91,7962325.00,8
bituminous,subcritical,27,1600,1292,44.52,8494900.00,8
bituminous,subcritical,27,1700,1373,44.17,9027475.00,8
bituminous,subcritical,27,1800,1454,43.86,9560050.00,8
bituminous,subcritical,27,1900,1534,43.59,10086050.00,8
bituminous,subcritical,27,2000,1615,43.33,10618625.00,8
bituminous,subcritical,27,2100,1696,43.11,11151200.00,8
bituminous,subcritical,27,2200,1777,42.9,11683775.00,8
bituminous,subcritical,27,2300,1857,42.7,12209775.00,8
bituminous,subcritical,27,2400,1938,42.52,12742350.00,8
bituminous,subcritical,27,2500,2019,42.36,13274925.00,8
bituminous,subcritical,30,100,80.82,95.57,531391.50,9
bituminous,subcritical,30,200,161.6,72.88,1062520.00,9
bituminous,subcritical,30,300,242.3,64.01,1593122.50,9
bituminous,subcritical,30,400,323.1,59.03,2124382.50,9
bituminous,subcritical,30,500,403.8,55.73,2654985.00,9
bituminous,subcritical,30,600,484.6,53.34,3186245.00,9
bituminous,subcritical,30,700,565.3,51.5,3716847.50,9
bituminous,subcritical,30,800,646.1,50.03,4248107.50,9
bituminous,subcritical,30,900,726.8,48.8,4778710.00,9
bituminous,subcritical,30,1000,807.6,47.76,5309970.00,9
bituminous,subcritical,30,1100,888.3,46.86,5840572.50,9
bituminous,subcritical,30,1200,969.1,46.06,6371832.50,9
bituminous,subcritical,30,1300,1050,45.35,6903750.00,9
bituminous,subcritical,30,1400,1131,44.77,7436325.00,9
bituminous,subcritical,30,1500,1211,44.33,7962325.00,9
bituminous,subcritical,30,1600,1292,43.95,8494900.00,9
bituminous,subcritical,30,1700,1373,43.6,9027475.00,9
bituminous,subcritical,30,1800,1454,43.3,9560050.00,9
bituminous,subcritical,30,1900,1534,43.02,10086050.00,9
bituminous,subcritical,30,2000,1615,42.78,10618625.00,9
bituminous,subcritical,30,2100,1696,42.55,11151200.00,9
bituminous,subcritical,30,2200,1777,42.34,11683775.00,9
bituminous,subcritical,30,2300,1857,42.15,12209775.00,9
bituminous,subcritical,30,2400,1938,41.97,12742350.00,9
bituminous,subcritical,30,2500,2019,41.81,13274925.00,9
bituminous,subcritical,33,100,80.82,94.49,531391.50,10
bituminous,subcritical,33,200,161.6,71.97,1062520.00,10
bituminous,subcritical,33,300,242.3,63.19,1593122.50,10
bituminous,subcritical,33,400,323.1,58.26,2124382.50,10
bituminous,subcritical,33,500,403.8,55,2654985.00,10
bituminous,subcritical,33,600,484.6,52.64,3186245.00,10
bituminous,subcritical,33,700,565.3,50.83,3716847.50,10
bituminous,subcritical,33,800,646.1,49.37,4248107.50,10
bituminous,subcritical,33,900,726.8,48.16,4778710.00,10
bituminous,subcritical,33,1000,807.6,47.13,5309970.00,10
bituminous,subcritical,33,1100,888.3,46.24,5840572.50,10
bituminous,subcritical,33,1200,969.1,45.46,6371832.50,10
bituminous,subcritical,33,1300,1050,44.75,6903750.00,10
bituminous,subcritical,33,1400,1131,44.18,7436325.00,10
bituminous,subcritical,33,1500,1211,43.75,7962325.00,10
bituminous,subcritical,33,1600,1292,43.37,8494900.00,10
bituminous,subcritical,33,1700,1373,43.04,9027475.00,10
bituminous,subcritical,33,1800,1454,42.73,9560050.00,10
bituminous,subcritical,33,1900,1534,42.46,10086050.00,10
bituminous,subcritical,33,2000,1615,42.22,10618625.00,10
bituminous,subcritical,33,2100,1696,41.99,11151200.00,10
bituminous,subcritical,33,2200,1777,41.79,11683775.00,10
bituminous,subcritical,33,2300,1857,41.6,12209775.00,10
bituminous,subcritical,33,2400,1938,41.42,12742350.00,10
bituminous,subcritical,33,2500,2019,41.25,13274925.00,10
bituminous,subcritical,37,100,80.82,93.06,531391.50,11
bituminous,subcritical,37,200,161.6,70.77,1062520.00,11
bituminous,subcritical,37,300,242.3,62.1,1593122.50,11
bituminous,subcritical,37,400,323.1,57.23,2124382.50,11
bituminous,subcritical,37,500,403.8,54.03,2654985.00,11
bituminous,subcritical,37,600,484.6,51.71,3186245.00,11
bituminous,subcritical,37,700,565.3,49.93,3716847.50,11
bituminous,subcritical,37,800,646.1,48.49,4248107.50,11
bituminous,subcritical,37,900,726.8,47.31,4778710.00,11
bituminous,subcritical,37,1000,807.6,46.3,5309970.00,11
bituminous,subcritical,37,1100,888.3,45.42,5840572.50,11
bituminous,subcritical,37,1200,969.1,44.65,6371832.50,11
bituminous,subcritical,37,1300,1050,43.96,6903750.00,11
bituminous,subcritical,37,1400,1131,43.4,7436325.00,11
bituminous,subcritical,37,1500,1211,42.98,7962325.00,11
bituminous,subcritical,37,1600,1292,42.61,8494900.00,11
bituminous,subcritical,37,1700,1373,42.28,9027475.00,11
bituminous,subcritical,37,1800,1454,41.98,9560050.00,11
