primary_fuel,generation_technology,capacity_MW,amortization_rate,CO2_emission_rate_ton_hr,generation_cost_MWh,CO2_emission_annual,,carbon_price_$_ton,capacity_factor,biomass_cofiring,,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
coal,IGCC,500,3,260,73.896,1708200,,10,0.75,15,,62.06,1.2316,63.2916,,221,1453075,61.4394,5.893333333,67.33273333
coal,IGCC,500,7,260,73.512,1708200,,10,0.75,15,,61.74,0.525085714,62.26508571,,221,1453075,61.1226,5.893333333,67.01593333
coal,IGCC,500,10,260,73.232,1708200,,10,0.75,15,,61.51,0.36616,61.87616,,221,1453075,60.8949,5.893333333,66.78823333
coal,IGCC,500,13,260,72.944,1708200,,10,0.75,15,,61.26,0.280553846,61.54055385,,221,1453075,60.6474,5.893333333,66.54073333
coal,IGCC,500,17,260,72.568,1708200,,10,0.75,15,,60.95,0.213435294,61.16343529,,221,1453075,60.3405,5.893333333,66.23383333
coal,IGCC,500,20,260,72.28,1708200,,10,0.75,15,,60.71,0.1807,60.8907,,221,1453075,60.1029,5.893333333,65.99623333
coal,IGCC,500,23,260,72,1708200,,10,0.75,15,,60.47,0.156521739,60.62652174,,221,1453075,59.8653,5.893333333,65.75863333
coal,IGCC,500,27,260,71.616,1708200,,10,0.75,15,,60.15,0.132622222,60.28262222,,221,1453075,59.5485,5.893333333,65.44183333
coal,IGCC,500,30,260,71.336,1708200,,10,0.75,15,,59.91,0.118893333,60.02889333,,221,1453075,59.3109,5.893333333,65.20423333
coal,IGCC,500,33,260,71.048,1708200,,10,0.75,15,,59.67,0.107648485,59.77764848,,221,1453075,59.0733,5.893333333,64.96663333
coal,IGCC,500,37,260,70.672,1708200,,10,0.75,15,,59.36,0.095502703,59.4555027,,221,1453075,58.7664,5.893333333,64.65973333
coal,IGCC,500,40,260,70.384,1708200,,10,0.75,15,,59.11,0.08798,59.19798,,221,1453075,58.5189,5.893333333,64.41223333
coal,IGCC,500,43,260,70.104,1708200,,10,0.75,15,,58.88,0.081516279,58.96151628,,221,1453075,58.2912,5.893333333,64.18453333
coal,IGCC,500,47,260,69.72,1708200,,10,0.75,15,,58.56,0.074170213,58.63417021,,221,1453075,57.9744,5.893333333,63.86773333
coal,IGCC,500,50,260,69.44,1708200,,10,0.75,15,,58.32,0.06944,58.38944,,221,1453075,57.7368,5.893333333,63.63013333
coal,IGCC,500,53,260,69.152,1708200,,10,0.75,15,,58.08,0.065237736,58.14523774,,221,1453075,57.4992,5.893333333,63.39253333
coal,IGCC,500,57,260,68.776,1708200,,10,0.75,15,,57.76,0.060329825,57.82032982,,221,1453075,57.1824,5.893333333,63.07573333
coal,IGCC,500,60,260,68.488,1708200,,10,0.75,15,,57.52,0.057073333,57.57707333,,221,1453075,56.9448,5.893333333,62.83813333
coal,IGCC,500,63,260,68.208,1708200,,10,0.75,15,,57.29,0.054133333,57.34413333,,221,1453075,56.7171,5.893333333,62.61043333
coal,IGCC,500,67,260,67.824,1708200,,10,0.75,15,,56.96,0.050614925,57.01061493,,221,1453075,56.3904,5.893333333,62.28373333
coal,IGCC,500,70,260,67.544,1708200,,10,0.75,15,,56.73,0.048245714,56.77824571,,221,1453075,56.1627,5.893333333,62.05603333
coal,IGCC,500,73,260,67.256,1708200,,10,0.75,15,,56.49,0.046065753,56.53606575,,221,1453075,55.9251,5.893333333,61.81843333
coal,IGCC,500,77,260,66.88,1708200,,10,0.75,15,,56.17,0.043428571,56.21342857,,221,1453075,55.6083,5.893333333,61.50163333
coal,IGCC,500,80,260,66.592,1708200,,10,0.75,15,,55.93,0.04162,55.97162,,221,1453075,55.3707,5.893333333,61.26403333
coal,IGCC,500,83,260,66.312,1708200,,10,0.75,15,,55.69,0.039946988,55.72994699,,221,1453075,55.1331,5.893333333,61.02643333
coal,IGCC,500,87,260,65.928,1708200,,10,0.75,15,,55.37,0.037889655,55.40788966,,221,1453075,54.8163,5.893333333,60.70963333
coal,IGCC,500,90,260,65.648,1708200,,10,0.75,15,,55.14,0.036471111,55.17647111,,221,1453075,54.5886,5.893333333,60.48193333
coal,IGCC,500,93,260,65.36,1708200,,10,0.75,15,,54.89,0.035139785,54.92513978,,221,1453075,54.3411,5.893333333,60.23443333
coal,IGCC,500,97,260,64.984,1708200,,10,0.75,15,,54.58,0.033496907,54.61349691,,221,1453075,54.0342,5.893333333,59.92753333
coal,IGCC,500,100,260,64.696,1708200,,10,0.75,15,,54.34,0.032348,54.372348,,221,1453075,53.7966,5.893333333,59.68993333
coal,IGCC,1000,3,214,61.08,1405980,,10,0.75,15,,51.3,1.018,52.318,,181.9,1195992.5,50.787,2.425333333,53.21233333
coal,IGCC,1000,7,214,60.72,1405980,,10,0.75,15,,51,0.433714286,51.43371429,,181.9,1195992.5,50.49,2.425333333,52.91533333
coal,IGCC,1000,10,214,60.448,1405980,,10,0.75,15,,50.77,0.30224,51.07224,,181.9,1195992.5,50.2623,2.425333333,52.68763333
coal,IGCC,1000,13,214,60.184,1405980,,10,0.75,15,,50.55,0.231476923,50.78147692,,181.9,1195992.5,50.0445,2.425333333,52.46983333
coal,IGCC,1000,17,214,59.824,1405980,,10,0.75,15,,50.25,0.175952941,50.42595294,,181.9,1195992.5,49.7475,2.425333333,52.17283333
coal,IGCC,1000,20,214,59.552,1405980,,10,0.75,15,,50.02,0.14888,50.16888,,181.9,1195992.5,49.5198,2.425333333,51.94513333
coal,IGCC,1000,23,214,59.28,1405980,,10,0.75,15,,49.79,0.128869565,49.91886957,,181.9,1195992.5,49.2921,2.425333333,51.71743333
coal,IGCC,1000,27,214,58.928,1405980,,10,0.75,15,,49.49,0.109125926,49.59912593,,181.9,1195992.5,48.9951,2.425333333,51.42043333
coal,IGCC,1000,30,214,58.656,1405980,,10,0.75,15,,49.26,0.09776,49.35776,,181.9,1195992.5,48.7674,2.425333333,51.19273333
coal,IGCC,1000,33,214,58.384,1405980,,10,0.75,15,,49.04,0.088460606,49.12846061,,181.9,1195992.5,48.5496,2.425333333,50.97493333
coal,IGCC,1000,37,214,58.024,1405980,,10,0.75,15,,48.73,0.078410811,48.80841081,,181.9,1195992.5,48.2427,2.425333333,50.66803333
coal,IGCC,1000,40,214,57.76,1405980,,10,0.75,15,,48.51,0.0722,48.5822,,181.9,1195992.5,48.0249,2.425333333,50.45023333
coal,IGCC,1000,43,214,57.488,1405980,,10,0.75,15,,48.28,0.066846512,48.34684651,,181.9,1195992.5,47.7972,2.425333333,50.22253333
coal,IGCC,1000,47,214,57.128,1405980,,10,0.75,15,,47.98,0.060774468,48.04077447,,181.9,1195992.5,47.5002,2.425333333,49.92553333
coal,IGCC,1000,50,214,56.864,1405980,,10,0.75,15,,47.76,0.056864,47.816864,,181.9,1195992.5,47.2824,2.425333333,49.70773333
coal,IGCC,1000,53,214,56.592,1405980,,10,0.75,15,,47.53,0.053388679,47.58338868,,181.9,1195992.5,47.0547,2.425333333,49.48003333
coal,IGCC,1000,57,214,56.232,1405980,,10,0.75,15,,47.23,0.049326316,47.27932632,,181.9,1195992.5,46.7577,2.425333333,49.18303333
coal,IGCC,1000,60,214,55.968,1405980,,10,0.75,15,,47.01,0.04664,47.05664,,181.9,1195992.5,46.5399,2.425333333,48.96523333
coal,IGCC,1000,63,214,55.696,1405980,,10,0.75,15,,46.78,0.044203175,46.82420317,,181.9,1195992.5,46.3122,2.425333333,48.73753333
coal,IGCC,1000,67,214,55.336,1405980,,10,0.75,15,,46.48,0.041295522,46.52129552,,181.9,1195992.5,46.0152,2.425333333,48.44053333
coal,IGCC,1000,70,214,55.064,1405980,,10,0.75,15,,46.25,0.039331429,46.28933143,,181.9,1195992.5,45.7875,2.425333333,48.21283333
coal,IGCC,1000,73,214,54.8,1405980,,10,0.75,15,,46.03,0.037534247,46.06753425,,181.9,1195992.5,45.5697,2.425333333,47.99503333
coal,IGCC,1000,77,214,54.44,1405980,,10,0.75,15,,45.72,0.035350649,45.75535065,,181.9,1195992.5,45.2628,2.425333333,47.68813333
coal,IGCC,1000,80,214,54.168,1405980,,10,0.75,15,,45.49,0.033855,45.523855,,181.9,1195992.5,45.0351,2.425333333,47.46043333
coal,IGCC,1000,83,214,53.904,1405980,,10,0.75,15,,45.27,0.032472289,45.30247229,,181.9,1195992.5,44.8173,2.425333333,47.24263333
coal,IGCC,1000,87,214,53.544,1405980,,10,0.75,15,,44.97,0.030772414,45.00077241,,181.9,1195992.5,44.5203,2.425333333,46.94563333
coal,IGCC,1000,90,214,53.272,1405980,,10,0.75,15,,44.74,0.029595556,44.76959556,,181.9,1195992.5,44.2926,2.425333333,46.71793333
