year,scenario,scenario_code,biomass_EJ,biomass_EJ_year,biomass_availability
2015,moderate,2,12,0,1
2016,moderate,2,13.22857143,1.228571429,1.228571429
2017,moderate,2,14.45714286,1.228571429,2.457142857
2018,moderate,2,15.68571429,1.228571429,3.685714286
2019,moderate,2,16.91428571,1.228571429,4.914285714
2020,moderate,2,18.14285714,1.228571429,6.142857143
2021,moderate,2,19.37142857,1.228571429,7.371428571
2022,moderate,2,20.6,1.228571429,8.6
2023,moderate,2,21.82857143,1.228571429,9.828571429
2024,moderate,2,23.05714286,1.228571429,11.05714286
2025,moderate,2,24.28571429,1.228571429,12.28571429
2026,moderate,2,25.51428571,1.228571429,13.51428571
2027,moderate,2,26.74285714,1.228571429,14.74285714
2028,moderate,2,27.97142857,1.228571429,15.97142857
2029,moderate,2,29.2,1.228571429,17.2
2030,moderate,2,30.42857143,1.228571429,18.42857143
2031,moderate,2,31.65714286,1.228571429,19.65714286
2032,moderate,2,32.88571429,1.228571429,20.88571429
2033,moderate,2,34.11428571,1.228571429,22.11428571
2034,moderate,2,35.34285714,1.228571429,23.34285714
2035,moderate,2,36.57142857,1.228571429,24.57142857
2036,moderate,2,37.8,1.228571429,25.8
2037,moderate,2,39.02857143,1.228571429,27.02857143
2038,moderate,2,40.25714286,1.228571429,28.25714286
2039,moderate,2,41.48571429,1.228571429,29.48571429
2040,moderate,2,42.71428571,1.228571429,30.71428571
2041,moderate,2,43.94285714,1.228571429,31.94285714
2042,moderate,2,45.17142857,1.228571429,33.17142857
2043,moderate,2,46.4,1.228571429,34.4
2044,moderate,2,47.62857143,1.228571429,35.62857143
2045,moderate,2,48.85714286,1.228571429,36.85714286
2046,moderate,2,50.08571429,1.228571429,38.08571429
2047,moderate,2,51.31428571,1.228571429,39.31428571
2048,moderate,2,52.54285714,1.228571429,40.54285714
2049,moderate,2,53.77142857,1.228571429,41.77142857
2050,moderate,2,55,1.228571429,43
2015,low,1,12,0,1
2016,low,1,12.4,0.4,0.4
2017,low,1,12.8,0.4,0.8
2018,low,1,13.2,0.4,1.2
2019,low,1,13.6,0.4,1.6
2020,low,1,14,0.4,2
2021,low,1,14.4,0.4,2.4
2022,low,1,14.8,0.4,2.8
2023,low,1,15.2,0.4,3.2
2024,low,1,15.6,0.4,3.6
2025,low,1,16,0.4,4
2026,low,1,16.4,0.4,4.4
2027,low,1,16.8,0.4,4.8
2028,low,1,17.2,0.4,5.2
2029,low,1,17.6,0.4,5.6
2030,low,1,18,0.4,6
2031,low,1,18.4,0.4,6.4
2032,low,1,18.8,0.4,6.8
2033,low,1,19.2,0.4,7.2
2034,low,1,19.6,0.4,7.6
2035,low,1,20,0.4,8
2036,low,1,20.4,0.4,8.4
2037,low,1,20.8,0.4,8.8
2038,low,1,21.2,0.4,9.2
2039,low,1,21.6,0.4,9.6
2040,low,1,22,0.4,10
2041,low,1,22.4,0.4,10.4
2042,low,1,22.8,0.4,10.8
2043,low,1,23.2,0.4,11.2
2044,low,1,23.6,0.4,11.6
2045,low,1,24,0.4,12
2046,low,1,24.4,0.4,12.4
2047,low,1,24.8,0.4,12.8
2048,low,1,25.2,0.4,13.2
2049,low,1,25.6,0.4,13.6
2050,low,1,26,0.4,14
2015,high,3,12,0,1
2016,high,3,14.22857143,2.228571429,2.228571429
