primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_$_MWh,annual_emission_ton,,carbon_price_ton,capacity_factor,biomass_cofiring,,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
lignite,subcritical,3,100,91.83,111.7,603782.25,,10,0.75,15,,82.92,12.244,95.164,,78.0555,513214.9125,82.0908,10.4074,92.4982
lignite,subcritical,3,200,183.6,85.6,1207170,,10,0.75,15,,63.54,12.24,75.78,,156.06,1026094.5,62.9046,10.404,73.3086
lignite,subcritical,3,300,275.3,75.16,1810097.5,,10,0.75,15,,55.79,12.23555556,68.02555556,,234.005,1538582.875,55.2321,10.40022222,65.63232222
lignite,subcritical,3,400,367.1,69.19,2413682.5,,10,0.75,15,,51.36,12.23666667,63.59666667,,312.035,2051630.125,50.8464,10.40116667,61.24756667
lignite,subcritical,3,500,458.8,65.2,3016610,,10,0.75,15,,48.4,12.23466667,60.63466667,,389.98,2564118.5,47.916,10.39946667,58.31546667
lignite,subcritical,3,600,550.6,62.28,3620195,,10,0.75,15,,46.23,12.23555556,58.46555556,,468.01,3077165.75,45.7677,10.40022222,56.16792222
lignite,subcritical,3,700,642.3,60.02,4223122.5,,10,0.75,15,,44.55,12.23428571,56.78428571,,545.955,3589654.125,44.1045,10.39914286,54.50364286
lignite,subcritical,3,800,734,58.19,4826050,,10,0.75,15,,43.2,12.23333333,55.43333333,,623.9,4102142.5,42.768,10.39833333,53.16633333
lignite,subcritical,3,900,825.8,56.68,5429635,,10,0.75,15,,42.08,12.23407407,54.31407407,,701.93,4615189.75,41.6592,10.39896296,52.05816296
lignite,subcritical,3,1000,917.5,55.39,6032562.5,,10,0.75,15,,41.12,12.23333333,53.35333333,,779.875,5127678.125,40.7088,10.39833333,51.10713333
lignite,subcritical,3,1100,1009,54.27,6634175,,10,0.75,15,,40.29,12.23030303,52.52030303,,857.65,5639048.75,39.8871,10.39575758,50.28285758
lignite,subcritical,3,1200,1101,53.28,7239075,,10,0.75,15,,39.55,12.23333333,51.78333333,,935.85,6153213.75,39.1545,10.39833333,49.55283333
lignite,subcritical,3,1300,1193,52.4,7843975,,10,0.75,15,,38.9,12.23589744,51.13589744,,1014.05,6667378.75,38.511,10.40051282,48.91151282
lignite,subcritical,3,1400,1285,51.67,8448875,,10,0.75,15,,38.36,12.23809524,50.59809524,,1092.25,7181543.75,37.9764,10.40238095,48.37878095
lignite,subcritical,3,1500,1376,51.11,9047200,,10,0.75,15,,37.94,12.23111111,50.17111111,,1169.6,7690120,37.5606,10.39644444,47.95704444
lignite,subcritical,3,1600,1468,50.61,9652100,,10,0.75,15,,37.57,12.23333333,49.80333333,,1247.8,8204285,37.1943,10.39833333,47.59263333
lignite,subcritical,3,1700,1560,50.17,10257000,,10,0.75,15,,37.24,12.23529412,49.47529412,,1326,8718450,36.8676,10.4,47.2676
lignite,subcritical,3,1800,1651,49.77,10855325,,10,0.75,15,,36.95,12.22962963,49.17962963,,1403.35,9227026.25,36.5805,10.39518519,46.97568519
lignite,subcritical,3,1900,1743,49.42,11460225,,10,0.75,15,,36.69,12.23157895,48.92157895,,1481.55,9741191.25,36.3231,10.39684211,46.71994211
lignite,subcritical,3,2000,1835,49.1,12065125,,10,0.75,15,,36.45,12.23333333,48.68333333,,1559.75,10255356.25,36.0855,10.39833333,46.48383333
lignite,subcritical,3,2100,1927,48.81,12670025,,10,0.75,15,,36.23,12.23492063,48.46492063,,1637.95,10769521.25,35.8677,10.39968254,46.26738254
lignite,subcritical,3,2200,2018,48.54,13268350,,10,0.75,15,,36.03,12.23030303,48.26030303,,1715.3,11278097.5,35.6697,10.39575758,46.06545758
lignite,subcritical,3,2300,2110,48.3,13873250,,10,0.75,15,,35.85,12.23188406,48.08188406,,1793.5,11792262.5,35.4915,10.39710145,45.88860145
lignite,subcritical,3,2400,2202,48.08,14478150,,10,0.75,15,,35.69,12.23333333,47.92333333,,1871.7,12306427.5,35.3331,10.39833333,45.73143333
lignite,subcritical,3,2500,2294,47.88,15083050,,10,0.75,15,,35.54,12.23466667,47.77466667,,1949.9,12820592.5,35.1846,10.39946667,45.58406667
lignite,subcritical,7,100,91.83,110,603782.25,,10,0.75,15,,81.66,12.244,93.904,,78.0555,513214.9125,80.8434,10.4074,91.2508
lignite,subcritical,7,200,183.6,84.22,1207170,,10,0.75,15,,62.52,12.24,74.76,,156.06,1026094.5,61.8948,10.404,72.2988
lignite,subcritical,7,300,275.3,73.91,1810097.5,,10,0.75,15,,54.87,12.23555556,67.10555556,,234.005,1538582.875,54.3213,10.40022222,64.72152222
lignite,subcritical,7,400,367.1,68.02,2413682.5,,10,0.75,15,,50.49,12.23666667,62.72666667,,312.035,2051630.125,49.9851,10.40116667,60.38626667
lignite,subcritical,7,500,458.8,64.09,3016610,,10,0.75,15,,47.58,12.23466667,59.81466667,,389.98,2564118.5,47.1042,10.39946667,57.50366667
lignite,subcritical,7,600,550.6,61.22,3620195,,10,0.75,15,,45.45,12.23555556,57.68555556,,468.01,3077165.75,44.9955,10.40022222,55.39572222
lignite,subcritical,7,700,642.3,58.99,4223122.5,,10,0.75,15,,43.79,12.23428571,56.02428571,,545.955,3589654.125,43.3521,10.39914286,53.75124286
lignite,subcritical,7,800,734,57.2,4826050,,10,0.75,15,,42.46,12.23333333,54.69333333,,623.9,4102142.5,42.0354,10.39833333,52.43373333
lignite,subcritical,7,900,825.8,55.71,5429635,,10,0.75,15,,41.36,12.23407407,53.59407407,,701.93,4615189.75,40.9464,10.39896296,51.34536296
lignite,subcritical,7,1000,917.5,54.44,6032562.5,,10,0.75,15,,40.41,12.23333333,52.64333333,,779.875,5127678.125,40.0059,10.39833333,50.40423333
lignite,subcritical,7,1100,1009,53.34,6634175,,10,0.75,15,,39.6,12.23030303,51.83030303,,857.65,5639048.75,39.204,10.39575758,49.59975758
lignite,subcritical,7,1200,1101,52.37,7239075,,10,0.75,15,,38.88,12.23333333,51.11333333,,935.85,6153213.75,38.4912,10.39833333,48.88953333
lignite,subcritical,7,1300,1193,51.5,7843975,,10,0.75,15,,38.23,12.23589744,50.46589744,,1014.05,6667378.75,37.8477,10.40051282,48.24821282
lignite,subcritical,7,1400,1285,50.79,8448875,,10,0.75,15,,37.7,12.23809524,49.93809524,,1092.25,7181543.75,37.323,10.40238095,47.72538095
lignite,subcritical,7,1500,1376,50.24,9047200,,10,0.75,15,,37.29,12.23111111,49.52111111,,1169.6,7690120,36.9171,10.39644444,47.31354444
