primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
anthracite,supercritical,3,100,60.58,104.4,398313.5,10,0.75,15,76.41,8.077333333,84.48733333,51.493,338566.475,75.6459,6.865733333,82.51163333
anthracite,supercritical,3,200,121.1,82.41,796232.5,10,0.75,15,60.32,8.073333333,68.39333333,102.935,676797.625,59.7168,6.862333333,66.57913333
anthracite,supercritical,3,300,181.6,73.64,1194020,10,0.75,15,53.9,8.071111111,61.97111111,154.36,1014917,53.361,6.860444444,60.22144444
anthracite,supercritical,3,400,242.2,68.64,1592465,10,0.75,15,50.24,8.073333333,58.31333333,205.87,1353595.25,49.7376,6.862333333,56.59993333
anthracite,supercritical,3,500,302.7,65.31,1990252.5,10,0.75,15,47.8,8.072,55.872,257.295,1691714.625,47.322,6.8612,54.1832
anthracite,supercritical,3,600,363.2,62.87,2388040,10,0.75,15,46.01,8.071111111,54.08111111,308.72,2029834,45.5499,6.860444444,52.41034444
anthracite,supercritical,3,700,423.7,60.99,2785827.5,10,0.75,15,44.64,8.07047619,52.71047619,360.145,2367953.375,44.1936,6.859904762,51.05350476
anthracite,supercritical,3,800,484.3,59.47,3184272.5,10,0.75,15,43.53,8.071666667,51.60166667,411.655,2706631.625,43.0947,6.860916667,49.95561667
anthracite,supercritical,3,900,544.8,58.21,3582060,10,0.75,15,42.6,8.071111111,50.67111111,463.08,3044751,42.174,6.860444444,49.03444444
anthracite,supercritical,3,1000,605.3,57.14,3979847.5,10,0.75,15,41.82,8.070666667,49.89066667,514.505,3382870.375,41.4018,6.860066667,48.26186667
anthracite,supercritical,3,1100,665.8,56.21,4377635,10,0.75,15,41.14,8.07030303,49.21030303,565.93,3720989.75,40.7286,6.859757576,47.58835758
anthracite,supercritical,3,1200,726.4,55.4,4776080,10,0.75,15,40.55,8.071111111,48.62111111,617.44,4059668,40.1445,6.860444444,47.00494444
anthracite,supercritical,3,1300,786.9,54.67,5173867.5,10,0.75,15,40.01,8.070769231,48.08076923,668.865,4397787.375,39.6099,6.860153846,46.47005385
anthracite,supercritical,3,1400,847.4,54.02,5571655,10,0.75,15,39.54,8.07047619,47.61047619,720.29,4735906.75,39.1446,6.859904762,46.00450476
anthracite,supercritical,3,1500,907.9,53.42,5969442.5,10,0.75,15,39.1,8.070222222,47.17022222,771.715,5074026.125,38.709,6.859688889,45.56868889
anthracite,supercritical,3,1600,968.5,52.99,6367887.5,10,0.75,15,38.78,8.070833333,46.85083333,823.225,5412704.375,38.3922,6.860208333,45.25240833
anthracite,supercritical,3,1700,1029,52.62,6765675,10,0.75,15,38.51,8.070588235,46.58058824,874.65,5750823.75,38.1249,6.86,44.9849
