primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
bituminous,supercritical,3,100,76.35,107.8,502001.25,10,0.75,15,80.49,10.18,90.67,64.8975,426701.0625,79.6851,8.653,88.3381
bituminous,supercritical,3,200,152.6,83.24,1003345,10,0.75,15,62.15,10.17333333,72.32333333,129.71,852843.25,61.5285,8.647333333,70.17583333
bituminous,supercritical,3,300,228.9,73.4,1505017.5,10,0.75,15,54.8,10.17333333,64.97333333,194.565,1279264.875,54.252,8.647333333,62.89933333
bituminous,supercritical,3,400,305.2,67.78,2006690,10,0.75,15,50.61,10.17333333,60.78333333,259.42,1705686.5,50.1039,8.647333333,58.75123333
bituminous,supercritical,3,500,381.5,64.02,2508362.5,10,0.75,15,47.8,10.17333333,57.97333333,324.275,2132108.125,47.322,8.647333333,55.96933333
bituminous,supercritical,3,600,457.8,61.28,3010035,10,0.75,15,45.75,10.17333333,55.92333333,389.13,2558529.75,45.2925,8.647333333,53.93983333
bituminous,supercritical,3,700,534,59.15,3511050,10,0.75,15,44.16,10.17142857,54.33142857,453.9,2984392.5,43.7184,8.645714286,52.36411429
bituminous,supercritical,3,800,610.3,57.44,4012722.5,10,0.75,15,42.89,10.17166667,53.06166667,518.755,3410814.125,42.4611,8.645916667,51.10701667
bituminous,supercritical,3,900,686.6,56.02,4514395,10,0.75,15,41.83,10.17185185,52.00185185,583.61,3837235.75,41.4117,8.646074074,50.05777407
bituminous,supercritical,3,1000,762.9,54.81,5016067.5,10,0.75,15,40.92,10.172,51.092,648.465,4263657.375,40.5108,8.6462,49.157
bituminous,supercritical,3,1100,839.2,53.77,5517740,10,0.75,15,40.15,10.17212121,50.32212121,713.32,4690079,39.7485,8.64630303,48.39480303
bituminous,supercritical,3,1200,915.4,52.85,6018755,10,0.75,15,39.46,10.17111111,49.63111111,778.09,5115941.75,39.0654,8.645444444,47.71084444
bituminous,supercritical,3,1300,991.7,52.03,6520427.5,10,0.75,15,38.85,10.17128205,49.02128205,842.945,5542363.375,38.4615,8.645589744,47.10708974
bituminous,supercritical,3,1400,1068,51.3,7022100,10,0.75,15,38.3,10.17142857,48.47142857,907.8,5968785,37.917,8.645714286,46.56271429
bituminous,supercritical,3,1500,1144,50.63,7521800,10,0.75,15,37.8,10.16888889,47.96888889,972.4,6393530,37.422,8.643555556,46.06555556
bituminous,supercritical,3,1600,1221,50.14,8028075,10,0.75,15,37.44,10.175,47.615,1037.85,6823863.75,37.0656,8.64875,45.71435
bituminous,supercritical,3,1700,1297,49.71,8527775,10,0.75,15,37.12,10.17254902,47.29254902,1102.45,7248608.75,36.7488,8.646666667,45.39546667
bituminous,supercritical,3,1800,1373,49.32,9027475,10,0.75,15,36.82,10.17037037,46.99037037,1167.05,7673353.75,36.4518,8.644814815,45.09661481
bituminous,supercritical,3,1900,1449,48.97,9527175,10,0.75,15,36.56,10.16842105,46.72842105,1231.65,8098098.75,36.1944,8.643157895,44.83755789
bituminous,supercritical,3,2000,1526,48.65,10033450,10,0.75,15,36.32,10.17333333,46.49333333,1297.1,8528432.5,35.9568,8.647333333,44.60413333
bituminous,supercritical,3,2100,1602,48.37,10533150,10,0.75,15,36.12,10.17142857,46.29142857,1361.7,8953177.5,35.7588,8.645714286,44.40451429
bituminous,supercritical,3,2200,1678,48.11,11032850,10,0.75,15,35.92,10.16969697,46.08969697,1426.3,9377922.5,35.5608,8.644242424,44.20504242
bituminous,supercritical,3,2300,1755,47.87,11539125,10,0.75,15,35.74,10.17391304,45.91391304,1491.75,9808256.25,35.3826,8.647826087,44.03042609
