primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
lignite,supercritical,3,100,86.75,114.6,570381.25,10,0.75,15,81.55,11.56666667,93.11666667,73.7375,484824.0625,80.7345,9.831666667,90.56616667
lignite,supercritical,3,200,173.4,88.09,1140105,10,0.75,15,62.69,11.56,74.25,147.39,969089.25,62.0631,9.826,71.8891
lignite,supercritical,3,300,260.1,77.41,1710157.5,10,0.75,15,55.09,11.56,66.65,221.085,1453633.875,54.5391,9.826,64.3651
lignite,supercritical,3,400,346.8,71.28,2280210,10,0.75,15,50.72,11.56,62.28,294.78,1938178.5,50.2128,9.826,60.0388
lignite,supercritical,3,500,433.4,67.17,2849605,10,0.75,15,47.8,11.55733333,59.35733333,368.39,2422164.25,47.322,9.823733333,57.14573333
lignite,supercritical,3,600,520.1,64.15,3419657.5,10,0.75,15,45.65,11.55777778,57.20777778,442.085,2906708.875,45.1935,9.824111111,55.01761111
lignite,supercritical,3,700,606.8,61.81,3989710,10,0.75,15,43.99,11.55809524,55.54809524,515.78,3391253.5,43.5501,9.824380952,53.37448095
lignite,supercritical,3,800,693.4,59.92,4559105,10,0.75,15,42.64,11.55666667,54.19666667,589.39,3875239.25,42.2136,9.823166667,52.03676667
lignite,supercritical,3,900,780.1,58.35,5129157.5,10,0.75,15,41.52,11.55703704,53.07703704,663.085,4359783.875,41.1048,9.823481481,50.92828148
lignite,supercritical,3,1000,866.8,57.02,5699210,10,0.75,15,40.58,11.55733333,52.13733333,736.78,4844328.5,40.1742,9.823733333,49.99793333
lignite,supercritical,3,1100,953.4,55.86,6268605,10,0.75,15,39.75,11.55636364,51.30636364,810.39,5328314.25,39.3525,9.822909091,49.17540909
lignite,supercritical,3,1200,1040,54.84,6838000,10,0.75,15,39.03,11.55555556,50.58555556,884,5812300,38.6397,9.822222222,48.46192222
lignite,supercritical,3,1300,1127,53.94,7410025,10,0.75,15,38.39,11.55897436,49.94897436,957.95,6298521.25,38.0061,9.825128205,47.83122821
lignite,supercritical,3,1400,1213,53.13,7975475,10,0.75,15,37.81,11.55238095,49.36238095,1031.05,6779153.75,37.4319,9.81952381,47.25142381
lignite,supercritical,3,1500,1300,52.39,8547500,10,0.75,15,37.28,11.55555556,48.83555556,1105,7265375,36.9072,9.822222222,46.72942222
lignite,supercritical,3,1600,1387,51.83,9119525,10,0.75,15,36.88,11.55833333,48.43833333,1178.95,7751596.25,36.5112,9.824583333,46.33578333
lignite,supercritical,3,1700,1473,51.34,9684975,10,0.75,15,36.53,11.55294118,48.08294118,1252.05,8232228.75,36.1647,9.82,45.9847
lignite,supercritical,3,1800,1560,50.89,10257000,10,0.75,15,36.21,11.55555556,47.76555556,1326,8718450,35.8479,9.822222222,45.67012222
lignite,supercritical,3,1900,1647,50.5,10829025,10,0.75,15,35.94,11.55789474,47.49789474,1399.95,9204671.25,35.5806,9.824210526,45.40481053
lignite,supercritical,3,2000,1733,50.13,11394475,10,0.75,15,35.67,11.55333333,47.22333333,1473.05,9685303.75,35.3133,9.820333333,45.13363333
lignite,supercritical,3,2100,1820,49.81,11966500,10,0.75,15,35.45,11.55555556,47.00555556,1547,10171525,35.0955,9.822222222,44.91772222
lignite,supercritical,3,2200,1907,49.51,12538525,10,0.75,15,35.23,11.55757576,46.78757576,1620.95,10657746.25,34.8777,9.823939394,44.70163939
lignite,supercritical,3,2300,1993,49.23,13103975,10,0.75,15,35.03,11.55362319,46.58362319,1694.05,11138378.75,34.6797,9.82057971,44.50027971
lignite,supercritical,3,2400,2080,48.98,13676000,10,0.75,15,34.86,11.55555556,46.41555556,1768,11624600,34.5114,9.822222222,44.33362222
lignite,supercritical,3,2500,2167,48.75,14248025,10,0.75,15,34.69,11.55733333,46.24733333,1841.95,12110821.25,34.3431,9.823733333,44.16683333
lignite,supercritical,7,100,86.75,112.7,570381.25,10,0.75,15,80.2,11.56666667,91.76666667,73.7375,484824.0625,79.398,9.831666667,89.22966667
lignite,supercritical,7,200,173.4,86.55,1140105,10,0.75,15,61.59,11.56,73.15,147.39,969089.25,60.9741,9.826,70.8001
lignite,supercritical,7,300,260.1,76.02,1710157.5,10,0.75,15,54.1,11.56,65.66,221.085,1453633.875,53.559,9.826,63.385
lignite,supercritical,7,400,346.8,69.97,2280210,10,0.75,15,49.79,11.56,61.35,294.78,1938178.5,49.2921,9.826,59.1181
lignite,supercritical,7,500,433.4,65.93,2849605,10,0.75,15,46.92,11.55733333,58.47733333,368.39,2422164.25,46.4508,9.823733333,56.27453333
lignite,supercritical,7,600,520.1,62.96,3419657.5,10,0.75,15,44.8,11.55777778,56.35777778,442.085,2906708.875,44.352,9.824111111,54.17611111
lignite,supercritical,7,700,606.8,60.67,3989710,10,0.75,15,43.17,11.55809524,54.72809524,515.78,3391253.5,42.7383,9.824380952,52.56268095
lignite,supercritical,7,800,693.4,58.81,4559105,10,0.75,15,41.85,11.55666667,53.40666667,589.39,3875239.25,41.4315,9.823166667,51.25466667
lignite,supercritical,7,900,780.1,57.27,5129157.5,10,0.75,15,40.75,11.55703704,52.30703704,663.085,4359783.875,40.3425,9.823481481,50.16598148
