year,reference_generation_cost_cent_kWh,reference_generation_cost_$_MWh
2016,6.520027,65.20027
2017,6.254014,62.54014
2018,6.279941,62.79941
2019,6.222149,62.22149
2020,6.324546,63.24546
2021,6.218788,62.18788
2022,6.128391,61.28391
2023,6.078271,60.78271
2024,6.047005,60.47005
2025,6.072605,60.72605
2026,6.032351,60.32351
2027,6.015475,60.15475
2028,5.991858,59.91858
2029,5.974736,59.74736
2030,5.957172,59.57172
2031,5.94622,59.4622
2032,5.909818,59.09818
2033,5.869071,58.69071
2034,5.827968,58.27968
2035,5.794539,57.94539
2036,5.782228,57.82228
2037,5.76393,57.6393
2038,5.761822,57.61822
2039,5.758316,57.58316
2040,5.742865,57.42865
2041,5.721256,57.21256
2042,5.695737,56.95737
2043,5.672602,56.72602
2044,5.65327,56.5327
2045,5.632994,56.32994
2046,5.600807,56.00807
2047,5.585328,55.85328
2048,5.644464,56.44464
2049,5.652391,56.52391
2050,5.624409,56.24409
