primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
anthracite,subcritical,3.00,100.00,10.00,0.75,64.12,421589.00,77.35,8.55,85.90,7.56,49707.00,130.41,1.01,131.42
anthracite,subcritical,3.00,200.00,10.00,0.75,128.20,842915.00,60.96,8.55,69.51,15.12,99414.00,102.78,1.01,103.78
anthracite,subcritical,3.00,300.00,10.00,0.75,192.30,1264372.50,54.50,8.55,63.05,22.69,149186.75,91.88,1.01,92.89
anthracite,subcritical,3.00,400.00,10.00,0.75,256.30,1685172.50,50.84,8.54,59.38,30.24,198828.00,85.71,1.01,86.72
anthracite,subcritical,3.00,500.00,10.00,0.75,320.40,2106630.00,48.40,8.54,56.94,37.80,248535.00,81.60,1.01,82.61
anthracite,subcritical,3.00,600.00,10.00,0.75,384.50,2528087.50,46.62,8.54,55.16,45.36,298242.00,78.60,1.01,79.61
anthracite,subcritical,3.00,700.00,10.00,0.75,448.60,2949545.00,45.25,8.54,53.79,52.92,347949.00,76.29,1.01,77.30
anthracite,subcritical,3.00,800.00,10.00,0.75,512.60,3370345.00,44.15,8.54,52.69,60.48,397656.00,74.43,1.01,75.44
anthracite,subcritical,3.00,900.00,10.00,0.75,576.70,3791802.50,43.23,8.54,51.77,68.04,447363.00,72.88,1.01,73.89
anthracite,subcritical,3.00,1000.00,10.00,0.75,640.80,4213260.00,42.45,8.54,50.99,75.60,497070.00,71.57,1.01,72.58
anthracite,subcritical,3.00,1100.00,10.00,0.75,704.80,4634060.00,41.78,8.54,50.32,83.15,546711.25,70.44,1.01,71.45
anthracite,subcritical,3.00,1200.00,10.00,0.75,768.90,5055517.50,41.18,8.54,49.72,90.71,596418.25,69.43,1.01,70.44
anthracite,subcritical,3.00,1300.00,10.00,0.75,833.00,5476975.00,40.64,8.54,49.18,98.28,646191.00,68.52,1.01,69.53
anthracite,subcritical,3.00,1400.00,10.00,0.75,897.00,5897775.00,40.22,8.54,48.76,105.83,695832.25,67.81,1.01,68.82
anthracite,subcritical,3.00,1500.00,10.00,0.75,961.10,6319232.50,39.89,8.54,48.43,113.39,745539.25,67.25,1.01,68.26
anthracite,subcritical,3.00,1600.00,10.00,0.75,1025.00,6739375.00,39.61,8.54,48.15,120.93,795114.75,66.78,1.01,67.79
anthracite,subcritical,3.00,1700.00,10.00,0.75,1089.00,7160175.00,39.36,8.54,47.90,128.48,844756.00,66.36,1.01,67.37
anthracite,subcritical,3.00,1800.00,10.00,0.75,1153.00,7580975.00,39.14,8.54,47.68,136.03,894397.25,65.99,1.01,67.00
anthracite,subcritical,3.00,1900.00,10.00,0.75,1217.00,8001775.00,38.95,8.54,47.49,143.58,944038.50,65.67,1.01,66.68
anthracite,subcritical,3.00,2000.00,10.00,0.75,1281.00,8422575.00,38.77,8.54,47.31,151.13,993679.75,65.36,1.01,66.37
anthracite,subcritical,3.00,2100.00,10.00,0.75,1346.00,8849950.00,38.61,8.55,47.16,158.80,1044110.00,65.09,1.01,66.10
anthracite,subcritical,3.00,2200.00,10.00,0.75,1410.00,9270750.00,38.47,8.55,47.02,166.35,1093751.25,64.86,1.01,65.87
anthracite,subcritical,3.00,2300.00,10.00,0.75,1474.00,9691550.00,38.34,8.54,46.88,173.90,1143392.50,64.64,1.01,65.65
anthracite,subcritical,3.00,2400.00,10.00,0.75,1538.00,10112350.00,38.23,8.54,46.77,181.45,1193033.75,64.45,1.01,65.46
anthracite,subcritical,3.00,2500.00,10.00,0.75,1602.00,10533150.00,38.12,8.54,46.66,189.00,1242675.00,64.27,1.01,65.28
anthracite,subcritical,7.00,100.00,10.00,0.75,64.12,421589.00,76.37,8.55,84.92,7.56,49707.00,128.76,1.01,129.76
anthracite,subcritical,7.00,200.00,10.00,0.75,128.20,842915.00,60.12,8.55,68.67,15.12,99414.00,101.36,1.01,102.37
anthracite,subcritical,7.00,300.00,10.00,0.75,192.30,1264372.50,53.74,8.55,62.29,22.69,149186.75,90.60,1.01,91.61
anthracite,subcritical,7.00,400.00,10.00,0.75,256.30,1685172.50,50.12,8.54,58.66,30.24,198828.00,84.50,1.01,85.51
anthracite,subcritical,7.00,500.00,10.00,0.75,320.40,2106630.00,47.71,8.54,56.25,37.80,248535.00,80.44,1.01,81.44
anthracite,subcritical,7.00,600.00,10.00,0.75,384.50,2528087.50,45.96,8.54,54.50,45.36,298242.00,77.49,1.01,78.49
anthracite,subcritical,7.00,700.00,10.00,0.75,448.60,2949545.00,44.62,8.54,53.16,52.92,347949.00,75.23,1.01,76.24
anthracite,subcritical,7.00,800.00,10.00,0.75,512.60,3370345.00,43.53,8.54,52.07,60.48,397656.00,73.39,1.01,74.40
anthracite,subcritical,7.00,900.00,10.00,0.75,576.70,3791802.50,42.63,8.54,51.17,68.04,447363.00,71.87,1.01,72.88
anthracite,subcritical,7.00,1000.00,10.00,0.75,640.80,4213260.00,41.86,8.54,50.40,75.60,497070.00,70.57,1.01,71.58
anthracite,subcritical,7.00,1100.00,10.00,0.75,704.80,4634060.00,41.19,8.54,49.73,83.15,546711.25,69.44,1.01,70.45
anthracite,subcritical,7.00,1200.00,10.00,0.75,768.90,5055517.50,40.60,8.54,49.14,90.71,596418.25,68.45,1.01,69.46
anthracite,subcritical,7.00,1300.00,10.00,0.75,833.00,5476975.00,40.08,8.54,48.62,98.28,646191.00,67.57,1.01,68.58
anthracite,subcritical,7.00,1400.00,10.00,0.75,897.00,5897775.00,39.66,8.54,48.20,105.83,695832.25,66.86,1.01,67.87
anthracite,subcritical,7.00,1500.00,10.00,0.75,961.10,6319232.50,39.34,8.54,47.88,113.39,745539.25,66.33,1.01,67.33
anthracite,subcritical,7.00,1600.00,10.00,0.75,1025.00,6739375.00,39.06,8.54,47.60,120.93,795114.75,65.85,1.01,66.86
anthracite,subcritical,7.00,1700.00,10.00,0.75,1089.00,7160175.00,38.82,8.54,47.36,128.48,844756.00,65.45,1.01,66.46
anthracite,subcritical,7.00,1800.00,10.00,0.75,1153.00,7580975.00,38.61,8.54,47.15,136.03,894397.25,65.09,1.01,66.10
anthracite,subcritical,7.00,1900.00,10.00,0.75,1217.00,8001775.00,38.41,8.54,46.95,143.58,944038.50,64.76,1.01,65.76
anthracite,subcritical,7.00,2000.00,10.00,0.75,1281.00,8422575.00,38.24,8.54,46.78,151.13,993679.75,64.47,1.01,65.48
anthracite,subcritical,7.00,2100.00,10.00,0.75,1346.00,8849950.00,38.08,8.55,46.63,158.80,1044110.00,64.20,1.01,65.21
anthracite,subcritical,7.00,2200.00,10.00,0.75,1410.00,9270750.00,37.95,8.55,46.50,166.35,1093751.25,63.98,1.01,64.99
anthracite,subcritical,7.00,2300.00,10.00,0.75,1474.00,9691550.00,37.82,8.54,46.36,173.90,1143392.50,63.76,1.01,64.77
anthracite,subcritical,7.00,2400.00,10.00,0.75,1538.00,10112350.00,37.71,8.54,46.25,181.45,1193033.75,63.58,1.01,64.59
anthracite,subcritical,7.00,2500.00,10.00,0.75,1602.00,10533150.00,37.60,8.54,46.14,189.00,1242675.00,63.39,1.01,64.40
anthracite,subcritical,10.00,100.00,10.00,0.75,64.12,421589.00,75.59,8.55,84.14,7.56,49707.00,127.44,1.01,128.45
anthracite,subcritical,10.00,200.00,10.00,0.75,128.20,842915.00,59.49,8.55,68.04,15.12,99414.00,100.30,1.01,101.31
anthracite,subcritical,10.00,300.00,10.00,0.75,192.30,1264372.50,53.15,8.55,61.70,22.69,149186.75,89.61,1.01,90.62
anthracite,subcritical,10.00,400.00,10.00,0.75,256.30,1685172.50,49.57,8.54,58.11,30.24,198828.00,83.57,1.01,84.58
anthracite,subcritical,10.00,500.00,10.00,0.75,320.40,2106630.00,47.20,8.54,55.74,37.80,248535.00,79.58,1.01,80.58
anthracite,subcritical,10.00,600.00,10.00,0.75,384.50,2528087.50,45.47,8.54,54.01,45.36,298242.00,76.66,1.01,77.67
anthracite,subcritical,10.00,700.00,10.00,0.75,448.60,2949545.00,44.14,8.54,52.68,52.92,347949.00,74.42,1.01,75.43
anthracite,subcritical,10.00,800.00,10.00,0.75,512.60,3370345.00,43.06,8.54,51.60,60.48,397656.00,72.60,1.01,73.61
anthracite,subcritical,10.00,900.00,10.00,0.75,576.70,3791802.50,42.17,8.54,50.71,68.04,447363.00,71.10,1.01,72.10
anthracite,subcritical,10.00,1000.00,10.00,0.75,640.80,4213260.00,41.41,8.54,49.95,75.60,497070.00,69.82,1.01,70.82
anthracite,subcritical,10.00,1100.00,10.00,0.75,704.80,4634060.00,40.76,8.54,49.30,83.15,546711.25,68.72,1.01,69.73
anthracite,subcritical,10.00,1200.00,10.00,0.75,768.90,5055517.50,40.18,8.54,48.72,90.71,596418.25,67.74,1.01,68.75
anthracite,subcritical,10.00,1300.00,10.00,0.75,833.00,5476975.00,39.66,8.54,48.20,98.28,646191.00,66.86,1.01,67.87
anthracite,subcritical,10.00,1400.00,10.00,0.75,897.00,5897775.00,39.24,8.54,47.78,105.83,695832.25,66.16,1.01,67.16
anthracite,subcritical,10.00,1500.00,10.00,0.75,961.10,6319232.50,38.93,8.54,47.47,113.39,745539.25,65.63,1.01,66.64
anthracite,subcritical,10.00,1600.00,10.00,0.75,1025.00,6739375.00,38.65,8.54,47.19,120.93,795114.75,65.16,1.01,66.17
anthracite,subcritical,10.00,1700.00,10.00,0.75,1089.00,7160175.00,38.42,8.54,46.96,128.48,844756.00,64.77,1.01,65.78
anthracite,subcritical,10.00,1800.00,10.00,0.75,1153.00,7580975.00,38.20,8.54,46.74,136.03,894397.25,64.40,1.01,65.41
anthracite,subcritical,10.00,1900.00,10.00,0.75,1217.00,8001775.00,38.01,8.54,46.55,143.58,944038.50,64.08,1.01,65.09
anthracite,subcritical,10.00,2000.00,10.00,0.75,1281.00,8422575.00,37.84,8.54,46.38,151.13,993679.75,63.80,1.01,64.80
anthracite,subcritical,10.00,2100.00,10.00,0.75,1346.00,8849950.00,37.68,8.55,46.23,158.80,1044110.00,63.53,1.01,64.53
anthracite,subcritical,10.00,2200.00,10.00,0.75,1410.00,9270750.00,37.55,8.55,46.10,166.35,1093751.25,63.31,1.01,64.32
