primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
coal_biomass,subcritical,3,100,10,0.75,68.096,447731.2,82.21,9.079466667,91.28946667,8.53,56084.75,138.6019835,1.137333333,139.7393168
coal_biomass,subcritical,3,200,10,0.75,136.16,895252,63.15,9.077333333,72.22733333,17.05,112103.75,106.4677686,1.136666667,107.6044353
coal_biomass,subcritical,3,300,10,0.75,204.16,1342352,55.58,9.073777778,64.65377778,25.56,168057,93.70512397,1.136,94.84112397
coal_biomass,subcritical,3,400,10,0.75,272.24,1789978,51.27,9.074666667,60.34466667,34.09,224141.75,86.43867769,1.136333333,87.57501102
coal_biomass,subcritical,3,500,10,0.75,340.24,2237078,48.4,9.073066667,57.47306667,42.6,280095,81.6,1.136,82.736
coal_biomass,subcritical,3,600,10,0.75,408.32,2684704,46.3,9.073777778,55.37377778,51.12,336114,78.05950413,1.136,79.19550413
coal_biomass,subcritical,3,700,10,0.75,476.32,3131804,44.68,9.072761905,53.7527619,59.64,392133,75.32826446,1.136,76.46426446
coal_biomass,subcritical,3,800,10,0.75,544.4,3579430,43.37,9.073333333,52.44333333,68.16,448152,73.11966942,1.136,74.25566942
coal_biomass,subcritical,3,900,10,0.75,612.4,4026530,42.29,9.072592593,51.36259259,76.68,504171,71.29884298,1.136,72.43484298
coal_biomass,subcritical,3,1000,10,0.75,680.48,4474156,41.37,9.073066667,50.44306667,85.2,560190,69.7477686,1.136,70.8837686
coal_biomass,subcritical,3,1100,10,0.75,748.48,4921256,40.57,9.072484848,49.64248485,93.71,616143.25,68.39900826,1.135878788,69.53488705
coal_biomass,subcritical,3,1200,10,0.75,816.8,5370460,39.86,9.075555556,48.93555556,102.27,672425.25,67.20198347,1.136333333,68.3383168
coal_biomass,subcritical,3,1300,10,0.75,884.8,5817560,39.24,9.074871795,48.31487179,110.78,728378.5,66.15669421,1.136205128,67.29289934
coal_biomass,subcritical,3,1400,10,0.75,952.8,6264660,38.73,9.074285714,47.80428571,119.3,784397.5,65.2968595,1.136190476,66.43304998
coal_biomass,subcritical,3,1500,10,0.75,1020.8,6711760,38.33,9.073777778,47.40377778,127.81,840350.75,64.62247934,1.136088889,65.75856823
coal_biomass,subcritical,3,1600,10,0.75,1088.8,7158860,37.99,9.073333333,47.06333333,136.32,896304,64.0492562,1.136,65.1852562
coal_biomass,subcritical,3,1700,10,0.75,1156.8,7605960,37.68,9.072941176,46.75294118,144.84,952323,63.52661157,1.136,64.66261157
coal_biomass,subcritical,3,1800,10,0.75,1224.8,8053060,37.41,9.072592593,46.48259259,153.35,1008276.25,63.07140496,1.135925926,64.20733088
coal_biomass,subcritical,3,1900,10,0.75,1292.8,8500160,37.16,9.072280702,46.2322807,161.87,1064295.25,62.64991736,1.135929825,63.78584718
coal_biomass,subcritical,3,2000,10,0.75,1360.8,8947260,36.94,9.072,46.012,170.38,1120248.5,62.27900826,1.135866667,63.41487493
coal_biomass,subcritical,3,2100,10,0.75,1428.8,9394360,36.75,9.071746032,45.82174603,178.89,1176201.75,61.95867769,1.135809524,63.09448721
