primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
bituminous,supercritical,3,100,10,0.75,76.35,107.8,502001.25,80.49,10.18,90.67,9.21,60555.75,129.4912343,1.228,130.7192343
bituminous,supercritical,3,200,10,0.75,152.6,83.24,1003345,62.15,10.17333333,72.32333333,18.4,120980,99.98608787,1.226666667,101.2127545
bituminous,supercritical,3,300,10,0.75,228.9,73.4,1505017.5,54.8,10.17333333,64.97333333,27.6,181470,88.16150628,1.226666667,89.38817294
bituminous,supercritical,3,400,10,0.75,305.2,67.78,2006690,50.61,10.17333333,60.78333333,36.8,241960,81.42069038,1.226666667,82.64735704
bituminous,supercritical,3,500,10,0.75,381.5,64.02,2508362.5,47.8,10.17333333,57.97333333,46,302450,76.9,1.226666667,78.12666667
bituminous,supercritical,3,600,10,0.75,457.8,61.28,3010035,45.75,10.17333333,55.92333333,55.2,362940,73.60198745,1.226666667,74.82865411
bituminous,supercritical,3,700,10,0.75,534,59.15,3511050,44.16,10.17142857,54.33142857,64.39,423364.25,71.04401674,1.22647619,72.27049293
bituminous,supercritical,3,800,10,0.75,610.3,57.44,4012722.5,42.89,10.17166667,53.06166667,73.59,483854.25,69.00085774,1.2265,70.22735774
bituminous,supercritical,3,900,10,0.75,686.6,56.02,4514395,41.83,10.17185185,52.00185185,82.79,544344.25,67.29554393,1.226518519,68.52206245
bituminous,supercritical,3,1000,10,0.75,762.9,54.81,5016067.5,40.92,10.172,51.092,91.99,604834.25,65.83154812,1.226533333,67.05808145
bituminous,supercritical,3,1100,10,0.75,839.2,53.77,5517740,40.15,10.17212121,50.32212121,101.19,665324.25,64.59278243,1.226545455,65.81932788
bituminous,supercritical,3,1200,10,0.75,915.4,52.85,6018755,39.46,10.17111111,49.63111111,110.38,725748.5,63.48271967,1.226444444,64.70916411
bituminous,supercritical,3,1300,10,0.75,991.7,52.03,6520427.5,38.85,10.17128205,49.02128205,119.58,786238.5,62.50135983,1.226461538,63.72782137
bituminous,supercritical,3,1400,10,0.75,1068,51.3,7022100,38.3,10.17142857,48.47142857,128.78,846728.5,61.6165272,1.22647619,62.84300339
bituminous,supercritical,3,1500,10,0.75,1144,50.63,7521800,37.8,10.16888889,47.96888889,137.94,906955.5,60.81213389,1.226133333,62.03826722
bituminous,supercritical,3,1600,10,0.75,1221,50.14,8028075,37.44,10.175,47.615,147.22,967971.5,60.23297071,1.226833333,61.45980404
bituminous,supercritical,3,1700,10,0.75,1297,49.71,8527775,37.12,10.17254902,47.29254902,156.39,1028264.25,59.718159,1.226588235,60.94474723
bituminous,supercritical,3,1800,10,0.75,1373,49.32,9027475,36.82,10.17037037,46.99037037,165.55,1088491.25,59.23552301,1.226296296,60.46181931
bituminous,supercritical,3,1900,10,0.75,1449,48.97,9527175,36.56,10.16842105,46.72842105,174.72,1148784,58.81723849,1.226105263,60.04334376
bituminous,supercritical,3,2000,10,0.75,1526,48.65,10033450,36.32,10.17333333,46.49333333,184,1209800,58.43112971,1.226666667,59.65779637
bituminous,supercritical,3,2100,10,0.75,1602,48.37,10533150,36.12,10.17142857,46.29142857,193.16,1270027,58.10937238,1.226412698,59.33578508
