primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
coal_biomass,supercritical,3,100,10,0.75,64.336,423009.2,80.85,8.578133333,89.42813333,8.01,52665.75,130.0703975,1.068,131.1383975
coal_biomass,supercritical,3,200,10,0.75,128.64,845808,62.32,8.576,70.896,16.01,105265.75,100.2595816,1.067333333,101.3269149
coal_biomass,supercritical,3,300,10,0.75,192.88,1268186,54.89,8.572444444,63.46244444,24,157800,88.30629707,1.066666667,89.37296374
coal_biomass,supercritical,3,400,10,0.75,257.12,1690564,50.64,8.570666667,59.21066667,32,210400,81.46895397,1.066666667,82.53562064
coal_biomass,supercritical,3,500,10,0.75,321.44,2113468,47.8,8.571733333,56.37173333,40,263000,76.9,1.066666667,77.96666667
coal_biomass,supercritical,3,600,10,0.75,385.68,2535846,45.72,8.570666667,54.29066667,47.99,315534.25,73.55372385,1.066444444,74.62016829
coal_biomass,supercritical,3,700,10,0.75,450,2958750,44.11,8.571428571,52.68142857,56,368200,70.96357741,1.066666667,72.03024407
coal_biomass,supercritical,3,800,10,0.75,514.24,3381128,42.81,8.570666667,51.38066667,63.99,420734.25,68.87215481,1.0665,69.93865481
coal_biomass,supercritical,3,900,10,0.75,578.56,3804032,41.73,8.571259259,50.30125926,72,473400,67.13466527,1.066666667,68.20133194
coal_biomass,supercritical,3,1000,10,0.75,642.8,4226410,40.82,8.570666667,49.39066667,79.99,525934.25,65.67066946,1.066533333,66.73720279
coal_biomass,supercritical,3,1100,10,0.75,707.04,4648788,40.02,8.570181818,48.59018182,87.98,578468.5,64.38364017,1.066424242,65.45006441
coal_biomass,supercritical,3,1200,10,0.75,771.36,5071692,39.33,8.570666667,47.90066667,95.99,631134.25,63.27357741,1.066555556,64.34013296
coal_biomass,supercritical,3,1300,10,0.75,836,5496700,38.71,8.574358974,47.28435897,104.03,683997.25,62.27612971,1.066974359,63.34310407
coal_biomass,supercritical,3,1400,10,0.75,900,5917500,38.16,8.571428571,46.73142857,112,736400,61.39129707,1.066666667,62.45796374
coal_biomass,supercritical,3,1500,10,0.75,964,6338300,37.64,8.568888889,46.20888889,119.96,788737,60.55472803,1.066311111,61.62103914
coal_biomass,supercritical,3,1600,10,0.75,1028.8,6764360,37.27,8.573333333,45.84333333,128.02,841731.5,59.95947699,1.066833333,61.02631032
coal_biomass,supercritical,3,1700,10,0.75,1092.8,7185160,36.94,8.570980392,45.51098039,135.99,894134.25,59.42857741,1.066588235,60.49516564
coal_biomass,supercritical,3,1800,10,0.75,1156.8,7605960,36.65,8.568888889,45.21888889,143.95,946471.25,58.96202929,1.066296296,60.02832558
coal_biomass,supercritical,3,1900,10,0.75,1221.6,8032020,36.38,8.572631579,44.95263158,152.02,999531.5,58.5276569,1.066807018,59.59446392
coal_biomass,supercritical,3,2000,10,0.75,1285.6,8452820,36.14,8.570666667,44.71066667,159.98,1051868.5,58.14154812,1.066533333,59.20808145
coal_biomass,supercritical,3,2100,10,0.75,1349.6,8873620,35.93,8.568888889,44.49888889,167.94,1104205.5,57.80370293,1.066285714,58.86998864
coal_biomass,supercritical,3,2200,10,0.75,1414.4,9299680,35.72,8.572121212,44.29212121,176.01,1157265.75,57.46585774,1.066727273,58.53258501
coal_biomass,supercritical,3,2300,10,0.75,1478.4,9720480,35.55,8.570434783,44.12043478,183.97,1209602.75,57.19236402,1.066492754,58.25885677
coal_biomass,supercritical,3,2400,10,0.75,1542.4,10141280,35.38,8.568888889,43.94888889,191.94,1262005.5,56.91887029,1.066333333,57.98520363
coal_biomass,supercritical,3,2500,10,0.75,1607.2,10567340,35.23,8.571733333,43.80173333,200,1315000,56.6775523,1.066666667,57.74421897
coal_biomass,supercritical,7,100,10,0.75,64.336,423009.2,79.64,8.578133333,88.21813333,8.01,52665.75,128.1237657,1.068,129.1917657
coal_biomass,supercritical,7,200,10,0.75,128.64,845808,61.29,8.576,69.866,16.01,105265.75,98.60253138,1.067333333,99.66986471
coal_biomass,supercritical,7,300,10,0.75,192.88,1268186,53.96,8.572444444,62.53244444,24,157800,86.81012552,1.066666667,87.87679219
coal_biomass,supercritical,7,400,10,0.75,257.12,1690564,49.76,8.570666667,58.33066667,32,210400,80.05322176,1.066666667,81.11988842
coal_biomass,supercritical,7,500,10,0.75,321.44,2113468,46.96,8.571733333,55.53173333,40,263000,75.54861925,1.066666667,76.61528591
coal_biomass,supercritical,7,600,10,0.75,385.68,2535846,44.91,8.570666667,53.48066667,47.99,315534.25,72.25060669,1.066444444,73.31705114
coal_biomass,supercritical,7,700,10,0.75,450,2958750,43.33,8.571428571,51.90142857,56,368200,69.70872385,1.066666667,70.77539052
coal_biomass,supercritical,7,800,10,0.75,514.24,3381128,42.06,8.570666667,50.63066667,63.99,420734.25,67.66556485,1.0665,68.73206485
coal_biomass,supercritical,7,900,10,0.75,578.56,3804032,41,8.571259259,49.57125926,72,473400,65.96025105,1.066666667,67.02691771
coal_biomass,supercritical,7,1000,10,0.75,642.8,4226410,40.1,8.570666667,48.67066667,79.99,525934.25,64.5123431,1.066533333,65.57887643
coal_biomass,supercritical,7,1100,10,0.75,707.04,4648788,39.32,8.570181818,47.89018182,87.98,578468.5,63.25748954,1.066424242,64.32391378
coal_biomass,supercritical,7,1200,10,0.75,771.36,5071692,38.64,8.570666667,47.21066667,95.99,631134.25,62.16351464,1.066555556,63.2300702
