primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
lignite,supercritical,3,100,10,0.75,86.75,570381.25,81.55,11.56666667,93.11666667,10.73,70549.75,131.1965481,1.430666667,132.6272148
lignite,supercritical,3,200,10,0.75,173.4,1140105,62.69,11.56,74.25,21.46,141099.5,100.8548326,1.430666667,102.2854993
lignite,supercritical,3,300,10,0.75,260.1,1710157.5,55.09,11.56,66.65,32.19,211649.25,88.62805439,1.430666667,90.05872106
lignite,supercritical,3,400,10,0.75,346.8,2280210,50.72,11.56,62.28,42.91,282133.25,81.5976569,1.430333333,83.02799024
lignite,supercritical,3,500,10,0.75,433.4,2849605,47.8,11.55733333,59.35733333,53.63,352617.25,76.9,1.430133333,78.33013333
lignite,supercritical,3,600,10,0.75,520.1,3419657.5,45.65,11.55777778,57.20777778,64.36,423167,73.44110879,1.430222222,74.87133101
lignite,supercritical,3,700,10,0.75,606.8,3989710,43.99,11.55809524,55.54809524,75.09,493716.75,70.77052301,1.430285714,72.20080873
lignite,supercritical,3,800,10,0.75,693.4,4559105,42.64,11.55666667,54.19666667,85.8,564135,68.59866109,1.43,70.02866109
lignite,supercritical,3,900,10,0.75,780.1,5129157.5,41.52,11.55703704,53.07703704,96.53,634684.75,66.79682008,1.430074074,68.22689416
lignite,supercritical,3,1000,10,0.75,866.8,5699210,40.58,11.55733333,52.13733333,107.26,705234.5,65.28456067,1.430133333,66.714694
lignite,supercritical,3,1100,10,0.75,953.4,6268605,39.75,11.55636364,51.30636364,117.98,775718.5,63.94926778,1.430060606,65.37932839
lignite,supercritical,3,1200,10,0.75,1040,6838000,39.03,11.55555556,50.58555556,128.69,846136.75,62.79094142,1.429888889,64.22083031
lignite,supercritical,3,1300,10,0.75,1127,7410025,38.39,11.55897436,49.94897436,139.46,916949.5,61.76131799,1.430358974,63.19167697
lignite,supercritical,3,1400,10,0.75,1213,7975475,37.81,11.55238095,49.36238095,150.1,986907.5,60.82822176,1.42952381,62.25774557
lignite,supercritical,3,1500,10,0.75,1300,8547500,37.28,11.55555556,48.83555556,160.87,1057720.25,59.97556485,1.429955556,61.40552041
