primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
coal,ultrasupercritical,3,100,10,0.75,69.57,457422.75,78.98,9.276,88.256,8.24,54178,123.606226,1.098666667,124.7048927
coal,ultrasupercritical,3,200,10,0.75,139.1,914582.5,61.05,9.273333333,70.32333333,16.47,108290.25,95.54520256,1.098,96.64320256
coal,ultrasupercritical,3,300,10,0.75,208.6,1371545,53.83,9.271111111,63.10111111,24.7,162402.5,84.24567164,1.097777778,85.34344942
coal,ultrasupercritical,3,400,10,0.75,278.1,1828507.5,49.68,9.27,58.95,32.93,216514.75,77.75078891,1.097666667,78.84845558
coal,ultrasupercritical,3,500,10,0.75,347.6,2285470,46.9,9.269333333,56.16933333,41.16,270627,73.4,1.0976,74.4976
coal,ultrasupercritical,3,600,10,0.75,417.1,2742432.5,44.86,9.268888889,54.12888889,49.39,324739.25,70.20733475,1.097555556,71.30489031
coal,ultrasupercritical,3,700,10,0.75,486.6,3199395,43.28,9.268571429,52.54857143,57.62,378851.5,67.73458422,1.09752381,68.83210803
coal,ultrasupercritical,3,800,10,0.75,556.1,3656357.5,42.01,9.268333333,51.27833333,65.85,432963.75,65.7469936,1.0975,66.8444936
coal,ultrasupercritical,3,900,10,0.75,625.6,4113320,40.95,9.268148148,50.21814815,74.08,487076,64.0880597,1.097481481,65.18554118
coal,ultrasupercritical,3,1000,10,0.75,695.1,4570282.5,40.05,9.268,49.318,82.31,541188.25,62.67953092,1.097466667,63.77699758
coal,ultrasupercritical,3,1100,10,0.75,764.6,5027245,39.27,9.267878788,48.53787879,90.54,595300.5,61.45880597,1.097454545,62.55626052
coal,ultrasupercritical,3,1200,10,0.75,834.1,5484207.5,38.59,9.267777778,47.85777778,98.77,649412.75,60.39458422,1.097444444,61.49202867
coal,ultrasupercritical,3,1300,10,0.75,903.6,5941170,37.99,9.267692308,47.25769231,107,703525,59.45556503,1.097435897,60.55300093
coal,ultrasupercritical,3,1400,10,0.75,973.1,6398132.5,37.44,9.267619048,46.70761905,115.23,757637.25,58.59479744,1.097428571,59.69222601
coal,ultrasupercritical,3,1500,10,0.75,1043,6857725,36.95,9.271111111,46.22111111,123.5,812012.5,57.82793177,1.097777778,58.92570955
coal,ultrasupercritical,3,1600,10,0.75,1112,7311400,36.51,9.266666667,45.77666667,131.67,865730.25,57.1393177,1.09725,58.2365677
coal,ultrasupercritical,3,1700,10,0.75,1182,7771650,36.09,9.270588235,45.36058824,139.96,920237,56.48200426,1.09772549,57.57972975
coal,ultrasupercritical,3,1800,10,0.75,1251,8225325,35.71,9.266666667,44.97666667,148.13,973954.75,55.88729211,1.097259259,56.98455137
coal,ultrasupercritical,3,1900,10,0.75,1321,8685575,35.42,9.270175439,44.69017544,156.42,1028461.5,55.43343284,1.097684211,56.53111705
coal,ultrasupercritical,3,2000,10,0.75,1390,9139250,35.15,9.266666667,44.41666667,164.59,1082179.25,55.0108742,1.097266667,56.10814087
coal,ultrasupercritical,3,2100,10,0.75,1460,9599500,34.91,9.26984127,44.17984127,172.88,1136686,54.63526652,1.097650794,55.73291732
coal,ultrasupercritical,3,2200,10,0.75,1529,10053175,34.69,9.266666667,43.95666667,181.05,1190403.75,54.29095949,1.097272727,55.38823222
coal,ultrasupercritical,3,2300,10,0.75,1599,10513425,34.48,9.269565217,43.74956522,189.34,1244910.5,53.96230277,1.097623188,55.05992596
coal,ultrasupercritical,3,2400,10,0.75,1668,10967100,34.3,9.266666667,43.56666667,197.51,1298628.25,53.68059701,1.097277778,54.77787479
coal,ultrasupercritical,3,2500,10,0.75,1738,11427350,34.12,9.269333333,43.38933333,205.8,1353135,53.39889126,1.0976,54.49649126
coal,ultrasupercritical,7,100,10,0.75,69.57,457422.75,77.62,9.276,86.896,8.24,54178,121.4777825,1.098666667,122.5764492
coal,ultrasupercritical,7,200,10,0.75,139.1,914582.5,59.95,9.273333333,69.22333333,16.47,108290.25,93.82366738,1.098,94.92166738
coal,ultrasupercritical,7,300,10,0.75,208.6,1371545,52.83,9.271111111,62.10111111,24.7,162402.5,82.68063966,1.097777778,83.77841744
coal,ultrasupercritical,7,400,10,0.75,278.1,1828507.5,48.75,9.27,58.02,32.93,216514.75,76.29530917,1.097666667,77.39297584
coal,ultrasupercritical,7,500,10,0.75,347.6,2285470,46.01,9.269333333,55.27933333,41.16,270627,72.00712154,1.0976,73.10472154
coal,ultrasupercritical,7,600,10,0.75,417.1,2742432.5,44.01,9.268888889,53.27888889,49.39,324739.25,68.87705757,1.097555556,69.97461312
coal,ultrasupercritical,7,700,10,0.75,486.6,3199395,42.46,9.268571429,51.72857143,57.62,378851.5,66.451258,1.09752381,67.54878181
coal,ultrasupercritical,7,800,10,0.75,556.1,3656357.5,41.21,9.268333333,50.47833333,65.85,432963.75,64.49496802,1.0975,65.59246802
coal,ultrasupercritical,7,900,10,0.75,625.6,4113320,40.17,9.268148148,49.43814815,74.08,487076,62.86733475,1.097481481,63.96481624
coal,ultrasupercritical,7,1000,10,0.75,695.1,4570282.5,39.29,9.268,48.558,82.31,541188.25,61.49010661,1.097466667,62.58757328
