year,plant_type,fuel,learning_rate,learning_rate_code,plant_LCOE_decrease
2015,PC,coal,moderate,2,0
2016,PC,coal,moderate,2,0.0188679
2017,PC,coal,moderate,2,0.0377358
2018,PC,coal,moderate,2,0.0566037
2019,PC,coal,moderate,2,0.0754716
2020,PC,coal,moderate,2,0.0943395
2021,PC,coal,moderate,2,0.1132074
2022,PC,coal,moderate,2,0.1320753
2023,PC,coal,moderate,2,0.1509432
2024,PC,coal,moderate,2,0.1698111
2025,PC,coal,moderate,2,0.188679
2026,PC,coal,moderate,2,0.190565817
2027,PC,coal,moderate,2,0.192452634
2028,PC,coal,moderate,2,0.194339451
2029,PC,coal,moderate,2,0.196226268
2030,PC,coal,moderate,2,0.198113085
2031,PC,coal,moderate,2,0.199999902
2032,PC,coal,moderate,2,0.201886719
2033,PC,coal,moderate,2,0.203773536
2034,PC,coal,moderate,2,0.205660353
2035,PC,coal,moderate,2,0.20754717
2036,PC,coal,moderate,2,0.21509434
2037,PC,coal,moderate,2,0.216981132
2038,PC,coal,moderate,2,0.218867925
2039,PC,coal,moderate,2,0.220754717
2040,PC,coal,moderate,2,0.222641509
2041,PC,coal,moderate,2,0.224528302
2042,PC,coal,moderate,2,0.226415094
2043,PC,coal,moderate,2,0.228301887
2044,PC,coal,moderate,2,0.230188679
2045,PC,coal,moderate,2,0.226415094
2046,PC,coal,moderate,2,0.226415094
2047,PC,coal,moderate,2,0.226415094
2048,PC,coal,moderate,2,0.226415094
2049,PC,coal,moderate,2,0.226415094
2050,PC,coal,moderate,2,0.226415094
2015,PC,coal,low,1,0
2016,PC,coal,low,1,0.01509432
2017,PC,coal,low,1,0.03018864
2018,PC,coal,low,1,0.04528296
2019,PC,coal,low,1,0.06037728
2020,PC,coal,low,1,0.0754716
2021,PC,coal,low,1,0.09056592
2022,PC,coal,low,1,0.10566024
2023,PC,coal,low,1,0.12075456
2024,PC,coal,low,1,0.13584888
2025,PC,coal,low,1,0.1509432
2026,PC,coal,low,1,0.152452654
2027,PC,coal,low,1,0.153962107
2028,PC,coal,low,1,0.155471561
2029,PC,coal,low,1,0.156981014
2030,PC,coal,low,1,0.158490468
2031,PC,coal,low,1,0.159999922
2032,PC,coal,low,1,0.161509375
2033,PC,coal,low,1,0.163018829
2034,PC,coal,low,1,0.164528282
2035,PC,coal,low,1,0.166037736
2036,PC,coal,low,1,0.172075472
2037,PC,coal,low,1,0.173584906
2038,PC,coal,low,1,0.17509434
2039,PC,coal,low,1,0.176603774
2040,PC,coal,low,1,0.178113208
2041,PC,coal,low,1,0.179622642
2042,PC,coal,low,1,0.181132075
2043,PC,coal,low,1,0.182641509
2044,PC,coal,low,1,0.184150943
2045,PC,coal,low,1,0.181132075
2046,PC,coal,low,1,0.181132075
2047,PC,coal,low,1,0.181132075
2048,PC,coal,low,1,0.181132075
2049,PC,coal,low,1,0.181132075
2050,PC,coal,low,1,0.181132075
2015,PC,coal,high,3,0
2016,PC,coal,high,3,0.02264148
2017,PC,coal,high,3,0.04528296
2018,PC,coal,high,3,0.06792444
2019,PC,coal,high,3,0.09056592
2020,PC,coal,high,3,0.1132074
2021,PC,coal,high,3,0.13584888
2022,PC,coal,high,3,0.15849036
2023,PC,coal,high,3,0.18113184
2024,PC,coal,high,3,0.20377332
2025,PC,coal,high,3,0.2264148
2026,PC,coal,high,3,0.22867898
2027,PC,coal,high,3,0.230943161
2028,PC,coal,high,3,0.233207341
2029,PC,coal,high,3,0.235471522
2030,PC,coal,high,3,0.237735702
2031,PC,coal,high,3,0.239999882
2032,PC,coal,high,3,0.242264063
2033,PC,coal,high,3,0.244528243
2034,PC,coal,high,3,0.246792423
2035,PC,coal,high,3,0.249056604
2036,PC,coal,high,3,0.258113208
2037,PC,coal,high,3,0.260377358
2038,PC,coal,high,3,0.262641509
2039,PC,coal,high,3,0.26490566
2040,PC,coal,high,3,0.267169811
2041,PC,coal,high,3,0.269433962
2042,PC,coal,high,3,0.271698113
2043,PC,coal,high,3,0.273962264
2044,PC,coal,high,3,0.276226415
2045,PC,coal,high,3,0.271698113
2046,PC,coal,high,3,0.271698113
2047,PC,coal,high,3,0.271698113
2048,PC,coal,high,3,0.271698113
2049,PC,coal,high,3,0.271698113
2050,PC,coal,high,3,0.271698113
