year,reference_cost,PC_CCS,PC_CCS_low,PC_CCS_mid,PC_CCS_high,NGCC_CCS,NGCC_CCS_low,NGCC_CCS_mid,NGCC_CCS_high
2016,81.20027,103.5466667,83.42893243,83.11949887,82.81006531,98.41333333,87.04,86.89,86.74
2017,79.54014,103.5466667,82.19119819,81.57233107,80.95346395,98.41333333,86.44,86.14,85.84
2018,78.49941,103.5466667,80.95346395,80.02516327,79.09686259,98.41333333,85.84,85.39,84.94
2019,78.22149,103.5466667,79.71572971,78.47799547,77.24026123,98.41333333,85.24,84.64,84.04
2020,77.90546,103.5466667,78.47799547,76.93082767,75.38365987,98.41333333,84.64,83.89,83.14
2021,77.78788,103.5466667,77.24026123,75.38365987,73.52705851,98.41333333,84.04,83.14,82.24
2022,77.28391,103.5466667,76.00252699,73.83649207,71.67045715,98.41333333,83.44,82.39,81.34
2023,76.78271,103.5466667,74.76479275,72.28932427,69.81385579,98.41333333,82.84,81.64,80.44
2024,76.47005,103.5466667,73.52705851,70.74215647,67.95725443,98.41333333,82.24,80.89,79.54
2025,76.72605,103.5466667,72.28932427,69.19498867,66.10065307,98.41333333,81.64,80.14,78.64
2026,76.32351,103.5466667,72.16554907,69.04026967,65.91499028,98.41333333,81.4,79.84,78.28
2027,76.15475,103.5466667,72.04177388,68.88555068,65.72932748,98.41333333,81.16,79.54,77.92
2028,75.91858,103.5466667,71.91799868,68.73083169,65.54366469,98.41333333,80.92,79.24,77.56
2029,75.74736,103.5466667,71.79422349,68.5761127,65.3580019,98.41333333,80.68,78.94,77.2
2030,75.57172,103.5466667,71.6704483,68.4213937,65.17233911,98.41333333,80.44,78.64,76.84
2031,75.4622,103.5466667,71.5466731,68.26667471,64.98667632,98.41333333,80.2,78.34,76.48
2032,75.09818,103.5466667,71.42289791,68.11195572,64.80101353,98.41333333,79.96,78.04,76.12
2033,74.69071,103.5466667,71.29912271,67.95723673,64.61535074,98.41333333,79.72,77.74,75.76
2034,74.27968,103.5466667,71.17534752,67.80251773,64.42968795,98.41333333,79.48,77.44,75.4
2035,73.94539,103.5466667,71.05157233,67.64779874,64.24402516,98.41333333,79.24,77.14,75.04
2036,73.82228,103.5466667,70.55647799,67.02893082,63.50138365,98.41333333,79.12,76.99,74.86
2037,73.6393,103.5466667,70.4327044,66.87421384,63.31572327,98.41333333,79,76.84,74.68
2038,73.61822,103.5466667,70.30893082,66.71949686,63.13006289,98.41333333,78.88,76.69,74.5
2039,73.58316,103.5466667,70.18515723,66.56477987,62.94440252,98.41333333,78.76,76.54,74.32
2040,73.42865,103.5466667,70.06138365,66.41006289,62.75874214,98.41333333,78.64,76.39,74.14
2041,73.21256,103.5466667,69.93761006,66.25534591,62.57308176,98.41333333,78.52,76.24,73.96
2042,72.95737,103.5466667,69.81383648,66.10062893,62.38742138,98.41333333,78.4,76.09,73.78
2043,72.72602,103.5466667,69.69006289,65.94591195,62.20176101,98.41333333,78.28,75.94,73.6
2044,72.5327,103.5466667,69.56628931,65.79119497,62.01610063,98.41333333,78.16,75.79,73.42
2045,72.32994,103.5466667,69.81383648,66.10062893,62.38742138,98.41333333,78.04,75.64,73.24
2046,72.00807,103.5466667,69.81383648,66.10062893,62.38742138,98.41333333,77.92,75.49,73.06
2047,72.25328,103.5466667,69.81383648,66.10062893,62.38742138,98.41333333,77.8,75.34,72.88
2048,72.44464,103.5466667,69.81383648,66.10062893,62.38742138,98.41333333,77.68,75.19,72.7
2049,72.42391,103.5466667,69.81383648,66.10062893,62.38742138,98.41333333,77.56,75.04,72.52
2050,72.24409,103.5466667,69.81383648,66.10062893,62.38742138,98.41333333,77.44,74.89,72.34
