year,coal_power_capacity_GW,gas_power_capacity_GW,oil_power_capacity_GW,coal_power_capacity_existing,gas_power_capacity_existing,oil_power_capacity_existing,coal_power_capacity_new,gas_power_capacity_new,oil_power_capacity_new,coal_annual_emission_intensity_2015,gas_annual_emission_intensity_2015,oil_annual_emission_intensity_2015,coal_lock_emission_intensity_2015,gas_lock_emission_intensity_2015,oil_lock_emission_intensity_2015,coal_power_annual_emission_existing,gas_power_annual_emission_existing,oil_power_annual_emission_existing,coal_power_lock_emission_existing,gas_power_lock_emission_existing,oil_power_lock_emission_existing,coal_power_annual_emission_new,gas_power_annual_emission_new,oil_power_annual_emission_new,coal_power_lock_emission_new,gas_power_lock_emission_new,oil_power_lock_emission_new,coal_annual_emission_overall,gas_annual_emission_overall,oil_annual_emission_overall
2015,2041.00,1615.10,388.40,2041.000001,1615.100001,388.4000002,0.00,0.00,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.77231438,3.910218705,0.93957721,204.3919581,66.15519901,11.89706139,0,0,0,0,0,0,10.77231438,3.910218705,0.93957721
2016,2101.20,1682.10,390.10,2032.866533,1606.468551,383.1637962,68.33,75.63,11.82,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.72621996,3.886307314,0.92553427,195.6830017,63.44990337,11.46568726,0.36,0.18,0.03,12.79,6.54,1.05,11.08621996,4.066307314,0.95553427
2017,2149.30,1743.30,384.10,2005.901279,1582.54101,377.3910658,75.07,85.13,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.57478566,3.825803872,0.911584898,187.2344866,60.77601243,11.01417449,0.39,0.2,0,14.05,7.36,0,11.32478566,4.205803872,0.941584898
2018,2167.00,1768.80,380.70,2002.373972,1576.790661,374.7916616,21.23,31.25,2.25,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.55155008,3.808754135,0.904060297,178.8737028,58.19090254,10.61151364,0.11,0.07,0.01,3.97,2.7,0.2,11.41155008,4.258754135,0.944060297
2019,2171.50,1772.60,380.40,1987.220124,1563.441477,371.7912365,19.65,17.15,4.23,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.46334677,3.774826285,0.896394661,170.7019171,55.65246911,10.20778138,0.1,0.04,0.01,3.68,1.48,0.37,11.42334677,4.264826285,0.946394661
2020,2173.70,1763.40,376.50,1951.618061,1553.760072,369.3741352,37.80,0.48,179.48,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.26030713,3.748822572,0.889795362,162.6796121,52.95902521,9.787159637,0.2,0,0.44,7.08,0.04,15.89,11.42030713,4.238822572,1.379795362
2021,2171.20,1757.80,370.90,1929.799741,1532.361934,367.0109616,19.32,15.80,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.13821885,3.693299878,0.883550388,154.5533936,50.44290398,9.498955873,0.1,0.04,0,3.62,1.37,0,11.39821885,4.223299878,1.373550388
2022,2182.40,1755.70,361.20,1894.234185,1519.11951,361.898661,46.77,11.14,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.932819833,3.657963623,0.870659507,146.8566663,47.92314718,9.095368395,0.25,0.03,0,8.75,0.96,0,11.44281983,4.217963623,1.360659507
2023,2189.70,1758.50,355.20,1825.342085,1474.595387,355.4921013,76.19,47.32,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.549906662,3.546819603,0.854151267,139.4456472,45.56576278,8.69148773,0.4,0.11,0,14.26,4.09,0,11.45990666,4.216819603,1.344151267
2024,2184.70,1761.20,349.10,1810.41305,1450.524368,345.730015,9.93,26.77,3.18,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.459918278,3.479401013,0.829664086,132.0478927,43.28596977,8.346177716,0.05,0.06,0.01,1.86,2.31,0.28,11.41991828,4.209401013,1.329664086
