year,coal_power_capacity_GW,gas_power_capacity_GW,oil_power_capacity_GW,coal_power_capacity_existing,gas_power_capacity_existing,oil_power_capacity_existing,coal_power_capacity_new,gas_power_capacity_new,oil_power_capacity_new,coal_annual_emission_intensity_2015,gas_annual_emission_intensity_2015,oil_annual_emission_intensity_2015,coal_lock_emission_intensity_2015,gas_lock_emission_intensity_2015,oil_lock_emission_intensity_2015,coal_power_annual_emission_existing,gas_power_annual_emission_existing,oil_power_annual_emission_existing,coal_power_lock_emission_existing,gas_power_lock_emission_existing,oil_power_lock_emission_existing,coal_power_annual_emission_new,gas_power_annual_emission_new,oil_power_annual_emission_new,coal_power_lock_emission_new,gas_power_lock_emission_new,oil_power_lock_emission_new,coal_annual_emission_overall,gas_annual_emission_overall,oil_annual_emission_overall
2015,2041.00,1615.10,388.40,2041.000001,1615.100001,388.4000002,0.00,0.00,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.77231438,3.910218705,0.93957721,204.3919581,66.15519901,11.89706139,0,0,0,0,0,0,10.77231438,3.910218705,0.93957721
2016,2101.20,1682.10,390.10,2037.135779,1615.100001,388.4000002,64.06,67.00,11.82,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.74539547,3.903392082,0.935999452,195.7788793,63.53532721,11.51801317,0.34,0.16,0.03,11.99,5.79,1.05,11.08539547,4.063392082,0.965999452
2017,2149.30,1743.30,384.10,2035.157011,1613.037323,387.7025619,50.08,63.26,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.70832664,3.88674151,0.932278681,188.0118315,61.12034331,11.12529308,0.26,0.15,0,9.37,5.47,0,11.30832664,4.19674151,0.962278681
2018,2167.00,1768.80,380.70,2036.504836,1615.100001,388.4000002,16.35,23.44,2.25,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.70695065,3.885046537,0.931334094,179.8079495,58.64474573,10.76952477,0.09,0.06,0.01,3.06,2.03,0.2,11.39695065,4.255046537,0.971334094
2019,2171.50,1772.60,380.40,2036.504836,1615.100001,388.4000002,4.50,3.80,4.23,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.69020975,3.877761292,0.929616218,172.2050887,56.31804782,10.41283418,0.02,0.01,0.01,0.84,0.33,0.37,11.40020975,4.257761292,0.979616218
2020,2173.70,1763.40,376.50,2033.879178,1615.100001,388.4000002,4.83,-9.20,179.48,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.63699679,3.871132532,0.927847048,165.5115542,53.78945265,10.03225282,0.03,-0.02,0.44,0.9,-0.8,15.89,11.37699679,4.231132532,1.417847048
2021,2171.20,1757.80,370.90,2031.878327,1615.100001,388.4000002,-0.50,-5.60,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.60309128,3.858162397,0.926222383,158.2496986,51.69152201,9.787722482,0,-0.01,0,-0.09,-0.48,0,11.34309128,4.208162397,1.416222383
2022,2182.40,1755.70,361.20,2023.029616,1610.35522,387.0899106,20.05,2.64,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.52270612,3.839757509,0.920844266,151.9675337,49.37371728,9.471797956,0.11,0.01,0,3.75,0.23,0,11.37270612,4.199757509,1.410844266
2023,2189.70,1758.50,355.20,1975.040739,1580.375823,380.267173,55.29,32.78,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.23735309,3.757721218,0.903482865,146.0274073,47.47712857,9.092121874,0.29,0.08,0,10.35,2.83,0,11.37735309,4.197721218,1.393482865
2024,2184.70,1761.20,349.10,1969.949498,1574.206452,377.7974152,0.09,8.87,3.18,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.19184783,3.727314441,0.893438479,139.2110084,45.67957338,8.934882457,0,0.02,0.01,0.02,0.77,0.28,11.33184783,4.187314441,1.393438479
2025,2174.60,1764.80,345.90,1967.441584,1573.509203,377.6839355,-7.59,4.30,0.10,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.16588516,3.713129755,0.890385199,132.6905478,43.87929147,8.702380532,-0.04,0.01,0,-1.42,0.37,0.01,11.26588516,4.183129755,1.390385199
2026,2164.60,1777.80,343.60,1957.958601,1570.407758,377.7344607,-0.52,16.10,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.08942425,3.696573044,0.88950589,127.2931003,42.01270133,8.350382838,0,0.04,0,-0.1,1.39,0,11.18942425,4.206573044,1.38950589
2027,2158.80,1791.50,338.50,1956.454767,1570.967575,377.3047244,-4.30,13.14,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.06227926,3.688304361,0.885370526,121.5101466,40.24771997,8.150099378,-0.02,0.03,0,-0.8,1.14,0,11.14227926,4.228304361,1.385370526
2028,2154.60,1808.00,334.10,1943.496962,1564.018079,375.8764914,8.76,23.45,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.974817139,3.659068287,0.880003116,116.043578,38.7493394,7.885473133,0.05,0.06,0,1.64,2.03,0,11.10481714,4.259068287,1.380003116
2029,2147.50,1822.70,331.90,1923.515705,1551.115242,372.6862779,12.88,27.60,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.841367931,3.620108284,0.870275779,112.0653545,38.94516944,8.451787849,0.07,0.07,0,2.41,2.39,0,11.04136793,4.290108284,1.370275779
2030,2145.50,1845.50,324.30,1889.989873,1521.890692,362.9958978,31.53,52.02,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.65481127,3.539656252,0.841524808,106.4991543,37.83365322,8.475963812,0.17,0.12,0,5.9,4.5,0,11.02481127,4.329656252,1.341524808
2031,2142.20,1872.10,321.90,1846.315122,1498.519121,356.9784335,40.37,49.97,1.93,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.389472753,3.479537217,0.82664851,104.0890439,36.04171461,8.169466063,0.21,0.12,0,7.56,4.32,0.17,10.96947275,4.389537217,1.32664851
2032,2143.00,1895.50,317.60,1827.803152,1487.185057,352.5667642,19.31,34.73,2.09,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.271919822,3.444547017,0.813184359,99.97836926,34.60744403,8.100648578,0.1,0.08,0.01,3.61,3,0.18,10.95191982,4.434547017,1.323184359
2033,2143.90,1917.30,315.20,1729.96901,1421.603028,331.6126759,98.73,87.38,16.89,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.734464128,3.280962721,0.760621156,98.10708132,33.59719864,8.175047075,0.52,0.21,0.04,18.48,7.55,1.5,10.93446413,4.480962721,1.310621156
2034,2146.60,1946.00,310.60,1678.738551,1368.988316,318.2791309,53.93,81.31,8.37,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.458070953,3.141041017,0.726036587,93.9941537,33.34451534,8.197361068,0.28,0.19,0.02,10.09,7.03,0.74,10.93807095,4.531041017,1.296036587
2035,2150.00,1977.70,307.00,1639.325929,1337.537052,307.720941,42.81,63.15,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.23733872,3.057651955,0.696635606,91.21778525,32.50622228,8.193105277,0.22,0.15,0,8.01,5.46,0,10.93733872,4.597651955,1.266635606
2036,2151.20,2004.70,304.00,1593.797456,1290.462644,299.8481616,46.73,74.07,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.985263473,2.930034159,0.677441098,88.49097568,32.36395403,7.993759823,0.25,0.18,0,8.75,6.4,0,10.93526347,4.650034159,1.247441098
2037,2151.20,2034.90,299.20,1563.196616,1267.880437,290.743595,30.60,52.78,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.803837247,2.866792011,0.65249645,86.63505193,31.60038931,8.04528018,0.16,0.13,0,5.73,4.56,0,10.91383725,4.716792011,1.22249645
2038,2155.60,2063.00,297.00,1544.253068,1250.903999,286.0554445,23.34,45.08,2.86,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.684452244,2.815622039,0.639124453,84.68097438,31.20112888,8.076017492,0.12,0.11,0.01,4.37,3.9,0.25,10.91445224,4.775622039,1.219124453
2039,2159.70,2095.70,293.00,1526.38209,1221.741622,278.4207056,21.97,61.86,5.78,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.578078988,2.733217521,0.617006374,82.04966309,31.31415464,8.240136223,0.12,0.15,0.01,4.11,5.35,0.51,10.92807899,4.843217521,1.207006374
2040,2164.50,2121.90,290.80,1492.050999,1187.53475,273.2338425,39.13,60.41,3.36,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.376694009,2.637759915,0.602021908,80.84082682,31.50542046,8.178670403,0.21,0.14,0.01,7.32,5.22,0.3,10.93669401,4.887759915,1.202021908
2041,2169.00,2150.40,287.90,1474.954692,1167.84106,272.3941559,21.60,48.19,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.271855806,2.577191112,0.598883411,79.27854941,31.79877418,8.0747948,0.11,0.12,0,4.04,4.17,0,10.94185581,4.947191112,1.198883411
2042,2173.80,2180.60,285.70,1425.706959,1138.712289,262.6118338,54.05,59.33,2.85,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,6.982381895,2.500798937,0.572445275,80.45130529,31.594111,8.195554963,0.28,0.14,0.01,10.12,5.13,0.25,10.93238189,5.010798937,1.182445275
2043,2177.80,2210.30,283.10,1385.618972,1106.591868,256.6994447,44.09,61.82,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,6.751980445,2.412173859,0.556251714,80.89366301,32.04721016,8.169467068,0.23,0.15,0,8.25,5.34,0,10.93198045,5.072173859,1.166251714
2044,2183.80,2246.50,280.80,1329.211364,1053.525849,249.9688301,62.41,89.27,0.62,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,6.434229507,2.274585194,0.539600017,82.05088397,33.10206328,8.010141628,0.33,0.21,0,11.68,7.72,0.05,10.94422951,5.144585194,1.149600017
2045,2189.50,2281.30,279.30,1253.375972,1013.54852,240.1420609,81.54,74.78,4.93,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,6.010383502,2.173369996,0.513612243,85.91835322,33.21440125,8.048274453,0.43,0.18,0.01,15.26,6.46,0.44,10.9503835,5.223369996,1.133612243
2046,2197.40,2317.20,274.90,1211.008531,960.1880602,228.4016207,50.27,89.26,5.07,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,5.773746063,2.032290759,0.483186876,86.56895678,34.77805884,8.313367814,0.26,0.21,0.01,9.41,7.72,0.45,10.97374606,5.292290759,1.113186876
2047,2204.90,2350.60,272.70,1163.625661,930.1211366,222.530092,54.88,63.47,5.74,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,5.498391589,1.950608961,0.466791159,89.77180456,35.56571369,8.428238174,0.29,0.15,0.01,10.27,5.49,0.51,10.98839159,5.360608961,1.106791159
2048,2212.30,2378.80,269.80,1084.142322,871.7735972,209.1964447,86.88,86.55,13.22,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,5.057090961,1.802702972,0.433104456,93.8881852,36.82975461,8.722387969,0.46,0.21,0.03,16.26,7.48,1.17,11.00709096,5.422702972,1.103104456
2049,2218.00,2406.30,267.60,1057.057795,854.5854938,207.8322425,32.78,44.69,0.00,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,4.89082391,1.752833222,0.428246064,97.23411549,37.80406869,8.774077656,0.17,0.11,0,6.14,3.86,0,11.01082391,5.482833222,1.098246064
2050,2224.80,2436.10,265.40,987.1880502,811.173947,197.1158595,76.67,73.21,3.71,190.4123329,418.29,407.1498755,5.342472334,11.56959716,11.2929043,4.493115121,1.642298726,0.400652127,103.0052319,38.78102403,9.015808836,0.4,0.18,0.01,14.35,6.33,0.33,11.01311512,5.552298726,1.080652127
