year,coal_power_capacity_GW,gas_power_capacity_GW,oil_power_capacity_GW,coal_power_capacity_existing,gas_power_capacity_existing,oil_power_capacity_existing,coal_power_capacity_new,gas_power_capacity_new,oil_power_capacity_new,coal_annual_emission_intensity_2015,gas_annual_emission_intensity_2015,oil_annual_emission_intensity_2015,coal_lock_emission_intensity_2015,gas_lock_emission_intensity_2015,oil_lock_emission_intensity_2015,coal_power_annual_emission_existing,gas_power_annual_emission_existing,oil_power_annual_emission_existing,coal_power_lock_emission_existing,gas_power_lock_emission_existing,oil_power_lock_emission_existing,coal_power_annual_emission_new,gas_power_annual_emission_new,oil_power_annual_emission_new,coal_power_lock_emission_new,gas_power_lock_emission_new,oil_power_lock_emission_new,coal_annual_emission_overall,gas_annual_emission_overall,oil_annual_emission_overall,coal_power_lock_emission_overall,gas_power_lock_emission_overall,oil_power_lock_emission_overall
2015,2041.0,1615.1,388.4,2041.000001,1615.100001,388.40000019999997,0.0,0.0,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.77231438,3.910218705,0.93957721,204.3919581,66.15519901,11.89706139,0.0,0.0,0.0,0.0,0.0,0.0,10.77231438,3.910218705,0.93957721,204.3919581,66.15519901,11.89706139
2016,2101.2,1682.1,390.1,2037.135779,1615.100001,388.40000019999997,64.06,67.0,11.82,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.74539547,3.903392082,0.935999452,195.7788793,63.53532721,11.51801317,0.34,0.16,0.03,11.99,5.79,1.05,11.08539547,4.063392082,0.965999452,207.7688793,69.32532721,12.56801317
2017,2149.3,1743.3,384.1,2037.135779,1615.100001,388.40000019999997,48.1,61.2,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.71735895,3.890863146,0.933678345,188.06440880000002,61.1436328,11.13280881,0.25,0.15,0.0,9.0,5.29,0.0,11.30735895,4.2008631460000005,0.963678345,208.75465880000002,72.0788828,12.15655881
2018,2167.0,1768.8,380.7,2036.5048359999998,1615.100001,388.40000019999997,18.33,25.5,2.25,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.70695065,3.885046537,0.9313340940000001,179.8079495,58.64474573,10.76952477,0.1,0.06,0.01,3.43,2.2,0.2,11.39695065,4.255046537,0.971334094,203.40344950000002,71.50299573,11.96702477
2019,2171.5,1772.6,380.4,2036.5048359999998,1615.100001,388.40000019999997,4.5,3.8,4.23,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.69020975,3.8777612919999997,0.9296162179999999,172.20508869999998,56.31804782,10.41283418,0.02,0.01,0.01,0.84,0.33,0.37,11.40020975,4.257761292,0.979616218,196.03008869999996,69.17429781999999,11.94908418
2020,2173.7,1763.4,376.5,2033.8791780000001,1615.100001,388.40000019999997,4.83,-9.2,179.48,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.63699679,3.871132532,0.927847048,165.51155419999998,53.78945265,10.03225282,0.03,-0.02,0.44,0.9,-0.8,15.89,11.37699679,4.231132532,1.417847048,189.60505419999998,65.50545265,27.41800282
2021,2171.2,1757.8,370.9,2031.878327,1615.100001,388.40000019999997,-0.5,-5.6,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.60309128,3.858162397,0.9262223829999999,158.24969860000002,51.69152201,9.787722482000001,0.0,-0.01,0.0,-0.09,-0.48,0.0,11.34309128,4.208162397,1.416222383,181.59919860000002,62.60727201,26.735722482
2022,2182.4,1755.7,361.2,2029.7277179999999,1615.100001,388.40000019999997,13.35,-2.1,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.5533836,3.849211835,0.9234541620000001,152.2333281,49.44915525,9.491374453999999,0.07,-0.01,0.0,2.5,-0.18,0.0,11.363383599999999,4.189211835,1.4134541619999998,177.43107809999998,59.87665525,26.001624453999998
2023,2189.7,1758.5,355.2,2024.1817989999997,1615.100001,388.40000019999997,12.85,2.8,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.46301876,3.8269531619999997,0.9196767790000001,148.18797890000002,48.10456602,9.223636661,0.07,0.01,0.0,2.4,0.24,0.0,11.34301876,4.176953162,1.409676779,175.07147890000002,58.46831602,25.296136661000002
2024,2184.7,1761.2,349.1,2022.697732,1615.100001,388.40000019999997,-3.52,2.7,3.18,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.433848900000001,3.809283143,0.9145244859999999,141.57938069999997,46.47098102,9.129528482000001,-0.02,0.01,0.01,-0.66,0.23,0.28,11.2938489,4.169283143,1.414524486,167.02863069999998,56.75498102,25.044278482000003
