year,coal_power_capacity_GW,gas_power_capacity_GW,oil_power_capacity_GW,coal_power_capacity_existing,gas_power_capacity_existing,oil_power_capacity_existing,coal_power_capacity_new,gas_power_capacity_new,oil_power_capacity_new,coal_annual_emission_intensity_2015,gas_annual_emission_intensity_2015,oil_annual_emission_intensity_2015,coal_lock_emission_intensity_2015,gas_lock_emission_intensity_2015,oil_lock_emission_intensity_2015,coal_power_annual_emission_existing,gas_power_annual_emission_existing,oil_power_annual_emission_existing,coal_power_lock_emission_existing,gas_power_lock_emission_existing,oil_power_lock_emission_existing,coal_power_annual_emission_new,gas_power_annual_emission_new,oil_power_annual_emission_new,coal_power_lock_emission_new,gas_power_lock_emission_new,oil_power_lock_emission_new,coal_annual_emission_overall,gas_annual_emission_overall,oil_annual_emission_overall,coal_power_lock_emission_overall,gas_power_lock_emission_overall,oil_power_lock_emission_overall
2015,2041.0,1615.1,388.4,2041.000001,1615.100001,388.40000019999997,0.0,0.0,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.77231438,3.910218705,0.93957721,204.3919581,66.15519901,11.89706139,0.0,0.0,0.0,0.0,0.0,0.0,10.77231438,3.910218705,0.93957721,204.3919581,66.15519901,11.89706139
2016,2101.2,1682.1,390.1,2032.866533,1606.468551,383.1637962,68.33,75.63,11.82,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.72621996,3.8863073139999997,0.92553427,195.6830017,63.44990337,11.46568726,0.36,0.18,0.03,12.79,6.54,1.05,11.08621996,4.0663073139999995,0.95553427,208.4730017,69.98990337000001,12.51568726
2017,2149.3,1743.3,384.1,2005.901279,1582.54101,377.39106580000004,75.07,85.13,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.57478566,3.825803872,0.911584898,187.2344866,60.77601243,11.01417449,0.39,0.2,0.0,14.05,7.36,0.0,11.32478566,4.205803872,0.941584898,213.7547366,74.51251243,12.03792449
2018,2167.0,1768.8,380.7,2002.3739719999999,1576.790661,374.79166160000005,21.23,31.25,2.25,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.55155008,3.808754135,0.904060297,178.87370280000002,58.19090254,10.61151364,0.11,0.07,0.01,3.97,2.7,0.2,11.41155008,4.258754135,0.944060297,208.6929528,74.27990254,11.80901364
2019,2171.5,1772.6,380.4,1987.220124,1563.4414769999998,371.7912365,19.65,17.15,4.23,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.46334677,3.774826285,0.896394661,170.70191709999997,55.65246911,10.20778138,0.1,0.04,0.01,3.68,1.48,0.37,11.42334677,4.264826285,0.9463946609999999,203.4309171,72.80646911,11.74403138
2020,2173.7,1763.4,376.5,1951.618061,1553.760072,369.3741352,37.8,0.48,179.48,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.26030713,3.748822572,0.889795362,162.6796121,52.95902521,9.787159637,0.2,0.0,0.44,7.08,0.04,15.89,11.42030713,4.238822572,1.3797953619999999,201.62636210000002,69.70102521,27.172909637000004
2021,2171.2,1757.8,370.9,1929.799741,1532.361934,367.01096160000003,19.32,15.8,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.13821885,3.693299878,0.883550388,154.5533936,50.44290398,9.498955873,0.1,0.04,0.0,3.62,1.37,0.0,11.39821885,4.223299878,1.3735503880000002,196.0808936,68.10190398,26.446955873
2022,2182.4,1755.7,361.2,1894.2341850000003,1519.11951,361.898661,46.77,11.14,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.932819833,3.657963623,0.870659507,146.85666630000003,47.92314718,9.095368395,0.25,0.03,0.0,8.75,0.96,0.0,11.44281983,4.217963623,1.3606595069999998,196.00441630000003,66.05489718,25.605618395
2023,2189.7,1758.5,355.2,1825.3420850000002,1474.5953869999998,355.4921013,76.19,47.32,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.549906662,3.5468196030000003,0.854151267,139.4456472,45.56576278,8.69148773,0.4,0.11,0.0,14.26,4.09,0.0,11.45990666,4.216819603,1.344151267,201.5048972,67.27626278,24.763987730000004
2024,2184.7,1761.2,349.1,1810.41305,1450.5243679999999,345.730015,9.93,26.77,3.18,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.459918278,3.479401013,0.829664086,132.0478927,43.28596977,8.346177716,0.05,0.06,0.01,1.86,2.31,0.28,11.41991828,4.209401013,1.329664086,194.2621427,66.69296976999999,24.260927715999998
2025,2174.6,1764.8,345.9,1795.168579,1431.94038,341.20806239999996,5.14,22.18,0.1,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.377675141000001,3.43045881,0.817747965,124.8034723,41.02142577,7.99590449,0.03,0.05,0.0,0.96,1.92,0.01,11.36767514,4.21045881,1.317747965,186.2262223,65.67717577,23.47590449
2026,2164.6,1777.8,343.6,1763.14905,1416.578322,341.0239756,22.02,28.36,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.199840982000001,3.389771587,0.8161965240000001,117.89264840000001,38.79541417,7.634527724,0.12,0.07,0.0,4.12,2.45,0.0,11.30984098,4.239771587,1.316196524,181.65989840000003,65.18191417,22.669527724
2027,2158.8,1791.5,338.5,1745.3348059999998,1403.747001,335.26401749999997,12.01,26.53,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.09878605,3.3548551489999996,0.8014761159999999,111.00077320000001,36.62984229999999,7.271848224,0.06,0.06,0.0,2.25,2.29,0.0,11.26878605,4.264855149,1.301476116,175.1395232,64.5258423,21.861848224
