country,capacity_MW,primary_fuel,generation_technology,age,output_MWh,fuel_used
United_States,840,natural_gas,CCGT,13,486175,gas
Japan,250,oil,subcritical,10,176216,oil
Mexico,770,natural_gas,CCGT,32,0,gas
Colombia,208,oil,subcritical,37,416230,oil
China,2400,coal,supercritical,11,5267840,coal
Bolivia,14,natural_gas,OCGT,19,4463,gas
Brazil,1040,natural_gas,CCGT,16,4543482,gas
Spain,324,bituminous,subcritical,21,1333422,coal
Spain,300,natural_gas,CCGT,21,1013303,gas
Argentina,206,natural_gas,subcritical,48,1043870,gas
United_States,460,natural_gas,OCGT,24,1333567,gas
United_States,1782,bituminous,subcritical,32,16500000,coal
Australia,435,natural_gas,CCGT,8,0,gas
China,600,bituminous,subcritical,48,2611700,coal
Japan,1200,bituminous,supercritical,19,6817015,coal
United_States,1570,natural_gas,CCGT,32,2554022,gas
United_States,1370,natural_gas,CCGT,33,5863563,gas
Bangladesh,52,oil,OCGT,5,0,oil
United_States,558,subbituminous,subcritical,15,3848348,coal
Panama,59,oil,subcritical,32,0,oil
Russia,408,natural_gas,subcritical,55,1550000,gas
United_States,652,natural_gas,CCGT,59,4531000,gas
Libya,435,natural_gas,OCGT,-14,2200000,gas
United_States,160,natural_gas,CCGT,30,161911,gas
United_States,2,bituminous,subcritical,48,0,coal
Egypt,1254,oil,subcritical,7,6041628,oil
Italy,1280,oil,subcritical,21,6041628,oil
China,510,natural_gas,CCGT,11,3641594,gas
Japan,1245,natural_gas,CCGT,54,4880687,gas
United_Kingdom,842,natural_gas,CCGT,8,2205081,gas
United_States,160,natural_gas,CCGT,30,161911,gas
China,1200,bituminous,subcritical,21,0,coal
United_Kingdom,123,natural_gas,CCGT,64,113315,gas
Bangladesh,450,natural_gas,CCGT,15,2579271,gas
Poland,858,lignite,supercritical,61,1468640,coal
United_States,1000,natural_gas,CCGT,13,0,gas
China,1080,lignite,subcritical,33,5172150,coal
Pakistan,450,natural_gas,CCGT,9,0,gas
Germany,3680,lignite,subcritical,47,29600000,coal
Hungary,110,natural_gas,CCGT,18,60892,gas
Germany,11,natural_gas,CCGT,24,95256,gas
Russia,18,natural_gas,subcritical,58,34162,gas
Russia,386,bituminous,cogeneration,70,839743,coal
Japan,1446,oil,subcritical,43,3509504,oil
Iran,954,natural_gas,CCGT,22,2475519,gas
United_States,55,natural_gas,CCGT,26,86825,gas
Philippines,1500,natural_gas,CCGT,21,16401,gas
Saudi_Arabia,8,oil,Engine,5,5531,oil
South_Africa,125,bituminous,subcritical,4,565348,coal
Canada,44,natural_gas,OCGT,61,37782,gas
Singapore,80,natural_gas,CCGT,39,258083,gas
New_Caledonia,55,natural_gas,CCGT,24,115259,gas
China,1200,bituminous,supercritical,22,9638495,coal
United_Kingdom,2000,natural_gas,CCGT,50,8955270,gas
Kenya,74,oil,Engine,18,657804,oil
Netherlands,218,natural_gas,CCGT,29,629016,gas
Argentina,1138,natural_gas,subcritical,48,5323759,gas
Syrian_Arab_Republic,544,natural_gas,CCGT,8,2492198,gas
