Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoForest,Tbox,http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoForest,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoForest,TBox,OntoForest is an ontology developed for creating a digital twin for the forest.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoForest,TBox,http://www.theworldavatar.com/ontology/ontolanduse/OntoLandUse.owl,http://www.w3.org/2002/07/owl#imports,,,,,,
Woodland,Class,http://www.opengis.net/ont/geosparql#Feature,IS-A,,,,Land covered with trees and shrubs,,Woodland
NonWoodland,Class,http://www.opengis.net/ont/geosparql#Feature,IS-A,,,,Land not covered with trees.,http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Non Woodland
AssumedWoodland,Class,Woodland,IS-A,,,,Areas have not been checked against the latest images and will be monitored in future updates and either updated to reflect forest type or removed from the dataset. (The Supplied grant scheme polygons and supplied FC new planting polygons).,http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Assumed Woodland
Broadleaved,Class,Woodland,IS-A,,,,Woodland dominated (more than 80% of the area) by trees which do not have needles. ,http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Broadleaved
Conifer,Class,Woodland,IS-A,,,,Woodland dominated (more than 80% of the area) by trees which have needle-like leaves.,http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Conifer
Coppice,Class,Woodland,IS-A,,,,Woodland where young tree stems are repeatedly cut down to near ground level to put out new shoots from their stump or roots.,http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Coppice
CoppiceWithStandards,Class,Woodland,IS-A,,,,"Woodland where young tree stems, mainly large broadleaved trees, are repeatedly cut down to near ground level to put out new shoots from their stump or roots.",http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Coppice with Standards
Failed,Class,Woodland,IS-A,,,,"Established woodland, but which may have failed to achieve woodland cover.",http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Failed
Felled,Class,Woodland,IS-A,,,,Areas of woodland where the trees have been harvested or felled.,http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Felled
GroundPrep,Class,Woodland,IS-A,,,,Land recently converted from some other land use to woodland.,http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Ground Prep
LowDensity,Class,Woodland,IS-A,,,,Polygonal areas mapped by NIWT but not mapped by NFI but investigation of the archive images shows a higher density than at present. These have been included for future monitoring.,http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Low Density
MixedMainlyBroadleaved,Class,Woodland,IS-A,,,,Woodland predominantly covered (more than 50% of the area and less than 80%) by broadleaved trees and exhibits intermediate characteristics between Conifer and Broadleaved woodland.,http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Mixed Mainly Broadleaved
MixedMainlyConifer,Class,Woodland,IS-A,,,,Woodland predominantly covered (more than 50% of the area and less than 80%) by coniferous trees and exhibits intermediate characteristics between Conifer and Broadleaved woodland.,http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Mixed Mainly Conifer
Shrub,Class,Woodland,IS-A,,,,"A plant community characterised by vegetation dominated by shrubs, often also including grasses, herbs, and geophytes. ",http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Shrub
Uncertain,Class,Woodland,IS-A,,,,Area where the interpreter is uncertain of the IFT/IOA to be used.,http://www.theworldavatar.com/ontology/ontoforest/OntoForest.owl,Uncertain
